Time [ms],Speed_target [m/s],Speed [m/s],Theta_Target [°], Theta [°]
951,0,-0.002,-0.009,1.476
956,0,-0.003,-0.008,1.522
961,0,-0.003,-0.012,1.544
966,0,-0.002,-0.009,1.555
971,0,-0.002,-0.007,1.559
976,0,-0.003,-0.006,1.591
981,0,-0.003,-0.01,1.608
986,0,-0.001,-0.009,1.59
991,0,-0.002,-0.003,1.598
996,0,-0.003,-0.006,1.617
1001,0,-0.003,-0.009,1.651
1006,0,-0.004,-0.011,1.695
1011,0,-0.001,-0.013,1.673
1016,0,-0.004,-0.003,1.728
1021,0,-0.004,-0.013,1.764
1026,0,-0.003,-0.013,1.784
1031,0,-0.003,-0.009,1.819
1036,0,-0.003,-0.011,1.845
1041,0,-0.003,-0.01,1.865
1046,0,-0.002,-0.009,1.876
1051,0,-0.003,-0.008,1.912
1056,0,-0.003,-0.012,1.934
1061,0,-0.004,-0.01,1.988
1066,0,-0.003,-0.014,2.001
1071,0,-0.001,-0.009,1.988
1076,0,-0.002,-0.005,1.994
1081,0,-0.002,-0.007,1.993
1086,0,-0.003,-0.007,2.015
1091,0,-0.003,-0.01,2.034
1096,0,-0.003,-0.01,2.058
1101,0,-0.005,-0.011,2.136
1106,0,-0.005,-0.019,2.184
1111,0,-0.005,-0.016,2.245
1116,0,-0.003,-0.016,2.265
1121,0,-0.002,-0.011,2.254
1126,0,-0.003,-0.006,2.279
1131,0,-0.003,-0.011,2.289
1136,0,-0.004,-0.01,2.32
1141,0,-0.003,-0.013,2.337
1146,0,-0.005,-0.011,2.399
1151,0,-0.005,-0.017,2.46
1156,0,-0.004,-0.018,2.483
1161,0,-0.004,-0.012,2.534
1166,0,-0.004,-0.015,2.563
1171,0,-0.004,-0.014,2.609
1176,0,-0.004,-0.015,2.634
1181,0,-0.003,-0.013,2.645
1186,0,-0.004,-0.011,2.667
1191,0,-0.003,-0.012,2.684
1196,0,-0.004,-0.012,2.724
1201,0,-0.005,-0.015,2.764
1206,0,-0.005,-0.016,2.806
1211,0,-0.006,-0.016,2.89
1216,0,-0.005,-0.022,2.939
1221,0,-0.004,-0.018,2.961
1226,0,-0.007,-0.013,3.057
1231,0,-0.004,-0.024,3.067
1236,0,-0.003,-0.014,3.078
1241,0,-0.006,-0.011,3.141
1246,0,-0.007,-0.02,3.22
1251,0,-0.005,-0.024,3.259
1256,0,-0.005,-0.018,3.294
1261,0,-0.005,-0.016,3.339
1266,0,-0.006,-0.018,3.391
1271,0,-0.006,-0.02,3.45
1276,0,-0.006,-0.021,3.502
1281,0,-0.006,-0.02,3.561
1286,0,-0.006,-0.021,3.613
1291,0,-0.007,-0.02,3.694
1296,0,-0.007,-0.024,3.762
1301,0,-0.007,-0.023,3.829
1306,0,-0.007,-0.023,3.903
1311,0,-0.006,-0.024,3.956
1316,0,-0.009,-0.022,4.076
1321,0,-0.008,-0.031,4.162
1326,0,-0.006,-0.028,4.217
1331,0,-0.006,-0.022,4.26
1336,0,-0.008,-0.02,4.354
1341,0,-0.009,-0.028,4.455
1346,0,-0.009,-0.031,4.551
1351,0,-0.007,-0.03,4.615
1356,0,-0.007,-0.025,4.683
1361,0,-0.011,-0.026,4.825
1366,0,-0.01,-0.037,4.932
1371,0,-0.007,-0.034,4.99
1376,0,-0.009,-0.025,5.089
