Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
0.000,7.923,0.000,0.049,-0.611,0.916,258.8
21.000,11.484,0.000,0.061,-0.756,0.992,259.2
41.000,-3.322,0.000,0.057,-0.757,0.769,259.7
61.000,11.423,0.000,0.073,-0.913,0.943,260.2
82.000,-1.691,0.000,0.070,-0.915,0.727,260.8
104.000,-4.310,0.000,0.067,-0.893,0.560,261.3
125.000,-24.903,0.000,0.044,-0.665,0.067,261.8
145.000,5.854,0.000,0.038,-0.468,0.042,262.1
165.000,-36.645,0.000,0.011,-0.273,-0.520,262.4
185.000,5.827,0.000,0.005,-0.042,-0.429,262.4
205.000,-17.368,0.000,-0.010,0.071,-0.699,262.4
225.000,-0.171,0.000,-0.013,0.163,-0.616,262.3
245.000,-19.706,0.000,-0.027,0.284,-0.841,262.2
265.000,-2.637,0.000,-0.036,0.459,-0.825,261.9
285.000,-9.305,0.000,-0.047,0.575,-0.915,261.6
305.000,-7.665,0.000,-0.057,0.709,-0.948,261.2
325.000,0.755,0.000,-0.066,0.863,-0.938,260.7
345.000,-17.641,0.000,-0.073,0.880,-0.978,260.2
365.000,7.268,0.000,-0.080,1.068,-0.867,259.6
385.000,4.456,0.000,-0.071,0.935,-0.621,258.9
405.000,13.854,0.000,-0.063,0.866,-0.374,258.4
427.000,17.628,0.000,-0.043,0.618,0.003,258.0
447.000,8.118,0.000,-0.040,0.551,0.044,257.6
467.000,17.328,0.000,-0.015,0.252,0.464,257.4
487.000,2.699,0.000,-0.017,0.228,0.367,257.3
507.000,12.446,0.000,0.001,0.034,0.635,257.2
527.000,1.835,0.000,0.001,-0.009,0.564,257.2
547.000,11.950,0.000,0.012,-0.112,0.711,257.2
567.000,3.405,0.000,0.016,-0.196,0.683,257.3
587.000,7.866,0.000,0.025,-0.295,0.764,257.5
610.000,5.786,0.000,0.033,-0.411,0.803,257.7
630.000,7.338,0.000,0.044,-0.544,0.864,258.0
650.000,11.638,0.000,0.056,-0.686,0.955,258.4
670.000,-4.920,0.000,0.065,-0.868,0.916,258.9
690.000,23.367,0.000,0.070,-0.821,0.966,259.4
710.000,-4.714,0.000,0.079,-1.039,0.868,260.0
730.000,-3.789,0.000,0.075,-0.994,0.703,260.6
750.000,-12.286,0.000,0.069,-0.942,0.472,261.2
770.000,-13.159,0.000,0.053,-0.742,0.162,261.7
790.000,-4.400,0.000,0.042,-0.564,-0.021,262.1
810.000,-36.405,0.000,0.023,-0.430,-0.443,262.4
830.000,7.508,0.000,0.014,-0.155,-0.403,262.5
850.000,-16.324,0.000,0.004,-0.104,-0.620,262.6
870.000,1.156,0.000,-0.004,0.050,-0.618,262.6
890.000,-14.581,0.000,-0.014,0.133,-0.781,262.6
912.000,-6.784,0.000,-0.023,0.277,-0.814,262.4
932.000,-11.617,0.000,-0.036,0.428,-0.936,262.2
952.000,-9.485,0.000,-0.046,0.560,-0.971,261.9
972.000,-13.372,0.000,-0.060,0.736,-1.087,261.5
992.000,9.912,0.000,-0.060,0.821,-0.883,261.0
1012.000,-29.363,0.000,-0.074,0.854,-1.103,260.5
1032.000,12.035,0.000,-0.073,0.997,-0.817,259.9
1052.000,-1.222,0.000,-0.071,0.918,-0.715,259.3
1072.000,14.559,0.000,-0.063,0.866,-0.434,258.8
1092.000,17.859,0.000,-0.044,0.631,-0.075,258.3
1112.000,-1.075,0.000,-0.042,0.545,-0.080,258.0
1134.000,12.067,0.000,-0.022,0.335,0.301,257.7
1154.000,9.878,0.000,-0.023,0.340,0.267,257.5
1174.000,0.456,0.000,-0.013,0.173,0.376,257.4
1194.000,1.946,0.000,-0.016,0.212,0.335,257.2
1214.000,5.298,0.000,-0.007,0.111,0.457,257.2
1234.000,0.159,0.000,-0.010,0.126,0.380,257.1
1254.000,1.068,0.000,-0.006,0.083,0.415,257.0
1274.000,2.081,0.000,-0.006,0.087,0.397,257.0
1294.000,0.338,0.000,-0.002,0.032,0.422,256.9
1314.000,3.233,0.000,0.000,0.006,0.445,256.9
1334.000,6.358,0.000,0.007,-0.074,0.524,257.0
1354.000,8.607,0.000,0.013,-0.136,0.569,257.0
1374.000,5.222,0.000,0.016,-0.185,0.550,257.1
1394.000,200.000,0.000,0.161,-1.374,11.759,257.5
1415.000,177.625,0.000,0.376,-4.125,16.859,259.4
1436.000,-200.000,0.000,0.221,-3.583,6.096,262.2
1456.000,-140.266,0.000,0.017,-0.723,0.488,263.3
1476.000,-200.000,0.000,-0.188,1.727,-2.987,262.9
1496.000,-200.000,0.000,-0.407,4.570,-5.891,260.7
1516.000,-48.410,0.000,-0.507,5.000,-7.438,257.1
1536.000,-42.959,0.000,-0.599,5.000,-9.118,252.7
1556.000,-25.520,0.000,-0.626,5.000,-8.900,247.8
1576.000,-43.458,0.000,-0.691,5.000,-9.740,242.6
1596.000,79.461,0.000,-0.648,5.000,-7.618,237.2
1616.000,-74.944,0.000,-0.631,5.000,-6.380,232.2
1636.000,108.339,0.000,-0.558,5.000,-3.670,227.3
1657.000,-65.036,0.000,-0.494,5.000,-1.394,223.2
1678.000,107.029,0.000,-0.438,5.000,0.534,219.4
1698.000,29.426,0.000,-0.354,4.710,2.782,216.2
1718.000,61.042,0.000,-0.294,4.045,3.853,213.5
1738.000,63.059,0.000,-0.206,2.898,5.095,211.4
1758.000,32.068,0.000,-0.157,2.151,5.515,210.0
1778.000,24.475,0.000,-0.124,1.705,5.715,208.8
1798.000,4.327,0.000,-0.129,1.687,5.326,207.8
1818.000,-9.694,0.000,-0.124,1.578,5.096,206.8
1838.000,-30.679,0.000,-0.153,1.879,4.390,205.7
1858.000,-36.882,0.000,-0.189,2.330,3.699,204.4
1878.000,-27.724,0.000,-0.224,2.818,3.162,202.7
1898.000,-29.727,0.000,-0.266,3.348,2.562,200.8
1918.000,-19.501,0.000,-0.284,3.616,2.405,198.6
1941.000,-0.674,0.000,-0.316,4.102,2.128,196.2
1961.000,-9.990,0.000,-0.299,3.851,2.454,193.8
1981.000,55.854,0.000,-0.280,3.836,3.063,191.4
2001.000,21.448,0.000,-0.262,3.483,3.233,189.2
2021.000,23.847,0.000,-0.224,3.000,3.775,187.3
2041.000,28.490,0.000,-0.172,2.342,4.456,185.6
2061.000,23.968,0.000,-0.166,2.239,4.399,184.2
2081.000,58.073,0.000,-0.112,1.658,5.134,183.0
2101.000,-22.403,0.000,-0.120,1.477,4.496,182.2
