Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
0.000,9.887,0.000,0.030,-0.357,1.189,175.5
20.000,13.076,0.000,0.038,-0.452,1.209,175.7
41.000,13.069,0.000,0.055,-0.667,1.322,176.1
61.000,7.162,0.000,0.069,-0.873,1.367,176.6
81.000,10.177,0.000,0.075,-0.943,1.319,177.2
101.000,9.379,0.000,0.095,-1.198,1.434,177.8
124.000,14.685,0.000,0.105,-1.314,1.409,178.6
148.000,0.205,0.000,0.109,-1.410,1.190,179.5
168.000,-1.750,0.000,0.106,-1.380,0.966,180.3
188.000,-7.116,0.000,0.104,-1.384,0.775,181.2
208.000,-12.445,0.000,0.092,-1.244,0.446,182.0
228.000,-12.763,0.000,0.080,-1.089,0.169,182.7
248.000,-13.303,0.000,0.067,-0.918,-0.100,183.3
268.000,-18.267,0.000,0.048,-0.691,-0.432,183.8
288.000,3.016,0.000,0.038,-0.483,-0.508,184.1
308.000,-28.830,0.000,0.014,-0.279,-0.963,184.4
328.000,2.879,0.000,0.008,-0.095,-0.875,184.4
348.000,-17.031,0.000,-0.007,0.034,-1.110,184.5
368.000,2.215,0.000,-0.013,0.172,-1.037,184.4
388.000,-9.402,0.000,-0.020,0.225,-1.103,184.3
408.000,-0.379,0.000,-0.023,0.298,-1.026,184.1
428.000,-9.608,0.000,-0.034,0.413,-1.131,183.9
448.000,-9.325,0.000,-0.046,0.560,-1.185,183.6
468.000,-18.369,0.000,-0.062,0.734,-1.324,183.2
488.000,4.988,0.000,-0.069,0.920,-1.210,182.6
508.000,-28.917,0.000,-0.089,1.053,-1.468,182.0
528.000,4.370,0.000,-0.095,1.257,-1.270,181.3
548.000,-8.659,0.000,-0.096,1.220,-1.164,180.5
568.000,14.464,0.000,-0.092,1.250,-0.866,179.7
588.000,6.507,0.000,-0.078,1.033,-0.558,179.1
608.000,13.604,0.000,-0.069,0.946,-0.307,178.4
629.000,17.631,0.000,-0.044,0.652,0.144,178.0
651.000,0.142,0.000,-0.034,0.448,0.236,177.7
674.000,18.445,0.000,-0.009,0.190,0.685,177.5
694.000,11.717,0.000,-0.002,0.067,0.708,177.4
714.000,14.216,0.000,0.020,-0.212,0.980,177.5
734.000,4.529,0.000,0.023,-0.279,0.902,177.6
754.000,12.453,0.000,0.037,-0.431,1.045,177.9
774.000,8.570,0.000,0.045,-0.556,1.053,178.2
794.000,12.167,0.000,0.061,-0.745,1.175,178.6
814.000,-7.321,0.000,0.066,-0.881,1.047,179.1
834.000,24.547,0.000,0.084,-1.000,1.288,179.7
854.000,-5.742,0.000,0.086,-1.137,1.057,180.4
874.000,5.795,0.000,0.085,-1.078,0.938,181.0
894.000,-11.819,0.000,0.076,-1.024,0.617,181.7
914.000,-7.907,0.000,0.064,-0.862,0.367,182.3
934.000,-20.812,0.000,0.049,-0.709,0.026,182.7
954.000,-200.000,0.000,-0.021,-0.446,-3.383,183.1
974.000,-200.000,0.000,-0.192,1.782,-8.017,182.5
994.000,43.989,0.000,-0.258,3.510,-7.381,180.6
1014.000,136.213,0.000,-0.112,1.945,-3.837,179.0
1034.000,114.127,0.000,0.035,-0.047,-1.518,178.6
1054.000,169.450,0.000,0.229,-2.374,1.464,179.5
1075.000,118.919,0.000,0.377,-4.470,3.042,181.8
1095.000,26.992,0.000,0.443,-5.000,3.792,185.1
1115.000,-13.069,0.000,0.437,-5.000,3.055,188.6
1135.000,13.043,0.000,0.403,-5.000,1.612,192.0
1157.000,-58.226,0.000,0.394,-5.000,0.880,195.3
1179.000,-58.994,0.000,0.289,-4.015,-1.341,198.1
1200.000,-132.315,0.000,0.207,-3.166,-2.899,200.3
1220.000,-46.672,0.000,0.103,-1.503,-4.031,201.5
1240.000,-77.577,0.000,0.037,-0.756,-4.895,202.2
1260.000,-46.930,0.000,-0.056,0.554,-5.782,202.1
1280.000,-32.148,0.000,-0.078,0.900,-5.632,201.6
1300.000,-34.107,0.000,-0.114,1.354,-5.703,200.9
1320.000,24.253,0.000,-0.111,1.536,-4.995,200.0
1340.000,-19.345,0.000,-0.103,1.273,-4.623,199.2
1360.000,41.180,0.000,-0.101,1.463,-3.978,198.3
1380.000,58.427,0.000,-0.019,0.452,-2.418,197.7
1400.000,4.014,0.000,-0.017,0.237,-2.412,197.6
1420.000,106.602,0.000,0.065,-0.460,-0.728,197.6
1440.000,21.928,0.000,0.129,-1.600,-0.138,198.4
1460.000,44.268,0.000,0.158,-1.897,0.255,199.5
1480.000,15.052,0.000,0.204,-2.598,0.637,200.9
1500.000,-3.748,0.000,0.185,-2.424,0.104,202.5
1520.000,-5.224,0.000,0.202,-2.651,0.166,204.0
1540.000,-54.184,0.000,0.142,-2.040,-1.032,205.5
1560.000,7.652,0.000,0.131,-1.678,-1.018,206.6
1580.000,-91.234,0.000,0.063,-1.143,-2.375,207.5
1600.000,5.304,0.000,0.028,-0.341,-2.419,207.8
1620.000,-64.681,0.000,0.005,-0.296,-2.866,208.0
1640.000,-7.851,0.000,-0.049,0.606,-3.223,207.9
1660.000,-14.887,0.000,-0.043,0.508,-2.927,207.5
1680.000,2.813,0.000,-0.066,0.869,-2.947,207.1
1702.000,-10.203,0.000,-0.054,0.656,-2.567,206.6
1722.000,-20.496,0.000,-0.100,1.231,-3.026,206.0
1742.000,45.892,0.000,-0.058,0.920,-1.921,205.3
1762.000,-36.790,0.000,-0.073,0.813,-2.245,204.8
1782.000,47.465,0.000,-0.059,0.933,-1.537,204.2
1802.000,-10.686,0.000,-0.032,0.382,-1.232,203.9
1822.000,23.497,0.000,-0.038,0.578,-1.072,203.6
1842.000,14.765,0.000,0.003,0.017,-0.439,203.4
1862.000,18.119,0.000,0.003,0.023,-0.387,203.4
1882.000,7.038,0.000,0.032,-0.395,-0.002,203.6
1902.000,19.979,0.000,0.041,-0.458,0.140,203.8
1922.000,13.129,0.000,0.059,-0.722,0.330,204.2
1942.000,-1.350,0.000,0.068,-0.885,0.323,204.7
1962.000,27.961,0.000,0.083,-0.979,0.569,205.3
1982.000,-5.955,0.000,0.082,-1.083,0.323,206.0
2002.000,-6.719,0.000,0.081,-1.072,0.212,206.6
2022.000,-12.983,0.000,0.069,-0.947,-0.052,207.2
2042.000,-10.986,0.000,0.055,-0.760,-0.294,207.8
2062.000,-20.998,0.000,0.038,-0.568,-0.605,208.2
2082.000,-18.712,0.000,0.032,-0.477,-0.686,208.5
2102.000,-13.784,0.000,0.008,-0.153,-0.978,208.6
2122.000,-14.020,0.000,0.001,-0.058,-1.027,208.7
2142.000,-8.716,0.000,-0.017,0.196,-1.193,208.6
2164.000,-11.442,0.000,-0.025,0.273,-1.218,208.5
2185.000,-10.187,0.000,-0.041,0.494,-1.318,208.2
2205.000,-19.018,0.000,-0.056,0.663,-1.446,207.8
2225.000,-8.162,0.000,-0.074,0.929,-1.510,207.3
2245.000,-19.999,0.000,-0.082,0.992,-1.510,206.7
2265.000,6.652,0.000,-0.091,1.202,-1.367,206.0
2285.000,-6.065,0.000,-0.090,1.145,-1.235,205.3
2305.000,4.328,0.000,-0.090,1.189,-1.049,204.6
2325.000,7.157,0.000,-0.080,1.065,-0.751,203.9
2345.000,5.230,0.000,-0.076,1.002,-0.578,203.3
2365.000,11.912,0.000,-0.062,0.844,-0.259,202.7
2385.000,16.813,0.000,-0.045,0.647,0.060,202.3
2405.000,11.136,0.000,-0.039,0.548,0.161,201.9
2425.000,21.304,0.000,-0.011,0.219,0.611,201.7
2445.000,12.496,0.000,-0.003,0.079,0.671,201.6
2465.000,12.634,0.000,0.014,-0.138,0.863,201.7
2485.000,7.819,0.000,0.020,-0.234,0.865,201.8
2505.000,11.107,0.000,0.034,-0.397,0.991,202.0
2525.000,12.394,0.000,0.047,-0.573,1.096,202.3
2545.000,9.257,0.000,0.062,-0.770,1.173,202.7
2565.000,-0.696,0.000,0.063,-0.826,1.030,203.2
2585.000,15.812,0.000,0.076,-0.935,1.148,203.8
2605.000,-8.645,0.000,0.077,-1.030,0.929,204.4
2625.000,7.049,0.000,0.083,-1.051,0.940,205.0
2645.000,-10.148,0.000,0.076,-1.027,0.657,205.7
2666.000,-7.277,0.000,0.063,-0.847,0.376,206.3
2687.000,-22.228,0.000,0.050,-0.724,0.048,206.7
2707.000,-0.893,0.000,0.033,-0.437,-0.147,207.1
2727.000,-28.721,0.000,0.024,-0.421,-0.395,207.3
2747.000,3.814,0.000,0.009,-0.101,-0.489,207.4
2767.000,-17.601,0.000,0.001,-0.069,-0.660,207.5
2787.000,1.025,0.000,-0.006,0.083,-0.642,207.5
2807.000,-11.049,0.000,-0.012,0.121,-0.727,207.4
2827.000,-1.025,0.000,-0.016,0.203,-0.683,207.3
2847.000,-4.988,0.000,-0.018,0.216,-0.669,207.2
2867.000,-5.986,0.000,-0.021,0.254,-0.661,207.0
2887.000,-6.892,0.000,-0.029,0.350,-0.710,206.8
2907.000,-2.490,0.000,-0.037,0.471,-0.735,206.6
2927.000,-9.315,0.000,-0.047,0.580,-0.824,206.3
2947.000,-9.001,0.000,-0.058,0.724,-0.882,205.8
2967.000,1.802,0.000,-0.063,0.825,-0.803,205.3
2987.000,-24.904,0.000,-0.079,0.938,-1.019,204.8
3007.000,9.592,0.000,-0.075,1.015,-0.715,204.2
3027.000,5.085,0.000,-0.070,0.929,-0.544,203.6
3047.000,15.229,0.000,-0.063,0.873,-0.312,203.0
3067.000,9.611,0.000,-0.051,0.694,-0.087,202.6
3087.000,1.136,0.000,-0.042,0.552,0.050,202.2
3107.000,23.672,0.000,-0.020,0.350,0.468,201.9
