Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
0.000,5.004,0.000,-0.069,0.915,-0.215,-177.7
21.000,8.437,0.000,-0.063,0.847,-0.035,-178.2
41.000,8.147,0.000,-0.051,0.697,0.179,-178.7
62.000,-2.006,0.000,-0.047,0.606,0.229,-179.1
82.000,18.671,0.000,-0.031,0.472,0.554,-179.4
102.000,4.519,0.000,-0.025,0.342,0.580,-179.6
122.000,14.569,0.000,-0.012,0.209,0.781,-179.8
142.000,8.526,0.000,-0.002,0.057,0.860,-179.9
162.000,10.792,0.000,0.012,-0.118,1.011,-179.9
182.000,10.226,0.000,0.022,-0.256,1.081,-179.7
202.000,16.414,0.000,0.041,-0.477,1.274,-179.5
222.000,24.151,0.000,0.067,-0.789,1.549,-179.1
242.000,6.527,0.000,0.084,-1.069,1.561,-178.5
262.000,32.517,0.000,0.109,-1.303,1.834,-177.8
282.000,8.344,0.000,0.128,-1.633,1.799,-176.8
302.000,8.801,0.000,0.130,-1.657,1.606,-175.8
322.000,-20.259,0.000,0.126,-1.713,1.233,-174.7
342.000,-12.966,0.000,0.101,-1.362,0.725,-173.8
362.000,-17.119,0.000,0.093,-1.271,0.459,-173.0
382.000,-31.805,0.000,0.049,-0.748,-0.316,-172.4
402.000,2.146,0.000,0.040,-0.509,-0.343,-172.1
422.000,-40.243,0.000,0.013,-0.312,-0.883,-171.8
442.000,0.544,0.000,0.001,-0.014,-0.856,-171.8
462.000,-16.743,0.000,-0.011,0.084,-1.036,-171.8
482.000,2.465,0.000,-0.012,0.164,-0.904,-171.9
502.000,-12.898,0.000,-0.020,0.215,-1.004,-172.0
522.000,-0.699,0.000,-0.025,0.322,-0.947,-172.2
542.000,-15.819,0.000,-0.037,0.422,-1.085,-172.4
562.000,-8.613,0.000,-0.046,0.573,-1.092,-172.7
582.000,-13.855,0.000,-0.060,0.732,-1.193,-173.1
602.000,2.680,0.000,-0.065,0.851,-1.069,-173.6
622.000,-16.303,0.000,-0.077,0.949,-1.190,-174.2
642.000,3.693,0.000,-0.083,1.088,-1.046,-174.8
662.000,-4.880,0.000,-0.085,1.082,-0.966,-175.5
682.000,15.993,0.000,-0.076,1.048,-0.639,-176.2
702.000,7.482,0.000,-0.063,0.844,-0.377,-176.7
722.000,14.624,0.000,-0.048,0.681,-0.071,-177.2
742.000,6.720,0.000,-0.036,0.493,0.118,-177.5
762.000,17.558,0.000,-0.024,0.372,0.354,-177.8
782.000,-2.796,0.000,-0.025,0.317,0.261,-178.0
802.000,9.853,0.000,-0.016,0.240,0.441,-178.2
822.000,-1.576,0.000,-0.016,0.196,0.388,-178.3
842.000,3.963,0.000,-0.014,0.201,0.413,-178.4
863.000,-6.431,0.000,-0.020,0.235,0.275,-178.5
883.000,-0.949,0.000,-0.022,0.281,0.274,-178.7
903.000,-6.167,0.000,-0.025,0.307,0.208,-178.9
923.000,-3.574,0.000,-0.030,0.384,0.151,-179.1
943.000,-3.174,0.000,-0.039,0.491,0.056,-179.4
963.000,-7.309,0.000,-0.045,0.553,-0.013,-179.7
983.000,-9.233,0.000,-0.050,0.623,-0.066,-180.1
1003.000,-9.505,0.000,-0.060,0.745,-0.152,-180.5
1023.000,-4.373,0.000,-0.063,0.798,-0.111,-181.0
1043.000,-12.059,0.000,-0.081,1.013,-0.336,-181.5
1063.000,5.635,0.000,-0.074,0.988,-0.090,-182.2
