Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
0.000,-5.960,0.000,-0.081,2.052,-1.782,-388.3
20.000,-4.637,0.000,-0.089,2.275,-1.623,-390.0
40.000,5.571,0.000,-0.088,2.321,-1.226,-391.8
60.000,5.398,0.000,-0.086,2.266,-0.914,-393.6
80.000,13.010,0.000,-0.076,2.070,-0.424,-395.2
100.000,10.102,0.000,-0.066,1.782,-0.053,-396.7
120.000,15.744,0.000,-0.050,1.400,0.447,-397.9
140.000,18.325,0.000,-0.030,0.917,0.917,-398.7
160.000,21.501,0.000,-0.006,0.308,1.414,-399.1
180.000,16.276,0.000,0.012,-0.207,1.650,-399.1
200.000,22.831,0.000,0.035,-0.747,1.998,-398.7
220.000,19.948,0.000,0.058,-1.371,2.219,-397.8
240.000,13.827,0.000,0.078,-1.930,2.286,-396.5
260.000,7.631,0.000,0.089,-2.258,2.131,-394.9
280.000,3.048,0.000,0.094,-2.419,1.858,-393.1
300.000,-1.275,0.000,0.092,-2.390,1.454,-391.2
320.000,-7.976,0.000,0.083,-2.224,0.951,-389.4
345.000,-18.026,0.000,0.065,-1.811,0.232,-387.5
365.000,-12.924,0.000,0.052,-1.451,-0.147,-386.3
385.000,-17.498,0.000,0.035,-1.040,-0.616,-385.4
405.000,-15.426,0.000,0.015,-0.509,-1.020,-384.8
425.000,-19.820,0.000,-0.005,-0.010,-1.411,-384.6
445.000,-17.363,0.000,-0.025,0.517,-1.669,-384.9
465.000,-18.519,0.000,-0.044,1.006,-1.884,-385.5
485.000,-10.336,0.000,-0.059,1.466,-1.903,-386.5
505.000,-14.414,0.000,-0.073,1.796,-1.946,-387.8
525.000,-12.597,0.000,-0.088,2.194,-1.936,-389.4
545.000,-5.562,0.000,-0.096,2.460,-1.729,-391.2
565.000,-2.667,0.000,-0.101,2.616,-1.489,-393.2
585.000,11.427,0.000,-0.094,2.537,-0.935,-395.2
605.000,13.121,0.000,-0.082,2.218,-0.407,-397.0
625.000,21.771,0.000,-0.063,1.792,0.225,-398.5
645.000,20.571,0.000,-0.044,1.281,0.717,-399.6
665.000,19.287,0.000,-0.023,0.735,1.155,-400.3
685.000,14.909,0.000,-0.003,0.191,1.475,-400.6
705.000,22.237,0.000,0.016,-0.269,1.817,-400.6
725.000,17.305,0.000,0.039,-0.903,2.069,-400.0
745.000,16.356,0.000,0.059,-1.406,2.206,-399.1
765.000,20.711,0.000,0.080,-1.945,2.389,-397.8
785.000,18.452,0.000,0.101,-2.488,2.437,-396.0
805.000,0.927,0.000,0.111,-2.882,2.131,-393.9
825.000,-2.609,0.000,0.110,-2.876,1.697,-391.7
845.000,-3.565,0.000,0.107,-2.803,1.289,-389.5
865.000,-17.382,0.000,0.094,-2.555,0.603,-387.4
885.000,-200.000,0.000,0.025,-2.089,-2.745,-385.7
905.000,-200.000,0.000,-0.188,3.463,-8.628,-386.7
