Time [ms],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
0.000,0.000,-0.010,0.007,0.205,-166.7
6.000,0.000,-0.007,0.006,0.247,-166.7
11.000,0.000,-0.002,0.004,0.314,-166.8
16.000,0.000,0.001,0.001,0.367,-166.8
21.000,0.000,0.002,-0.001,0.372,-166.8
26.000,0.000,0.002,-0.001,0.355,-166.8
31.000,0.000,0.002,-0.001,0.358,-166.8
36.000,0.000,0.004,-0.001,0.374,-166.8
41.000,0.000,0.005,-0.002,0.384,-166.7
46.000,0.000,0.006,-0.003,0.394,-166.7
51.000,0.000,0.008,-0.004,0.420,-166.7
56.000,0.000,0.009,-0.005,0.429,-166.7
61.000,0.000,0.010,-0.005,0.447,-166.7
66.000,0.000,0.011,-0.006,0.454,-166.7
71.000,0.000,0.010,-0.007,0.419,-166.6
76.000,0.000,0.009,-0.006,0.405,-166.6
81.000,0.000,0.013,-0.006,0.455,-166.6
86.000,0.000,0.015,-0.008,0.488,-166.6
91.000,0.000,0.017,-0.009,0.505,-166.6
96.000,0.000,0.018,-0.010,0.513,-166.5
101.000,0.000,0.018,-0.011,0.505,-166.5
106.000,0.000,0.019,-0.011,0.510,-166.4
111.000,0.000,0.018,-0.012,0.478,-166.4
116.000,0.000,0.017,-0.011,0.468,-166.4
121.000,0.000,0.016,-0.011,0.441,-166.3
125.000,0.000,0.016,-0.010,0.437,-166.3
131.000,0.000,0.019,-0.010,0.472,-166.3
136.000,0.000,0.021,-0.012,0.504,-166.2
141.000,0.000,0.023,-0.013,0.521,-166.2
146.000,0.000,0.022,-0.014,0.490,-166.1
151.000,0.000,0.021,-0.014,0.472,-166.1
156.000,0.000,0.019,-0.013,0.427,-166.1
161.000,0.000,0.017,-0.012,0.384,-166.0
166.000,0.000,0.018,-0.010,0.396,-166.0
171.000,0.000,0.019,-0.011,0.417,-166.0
176.000,0.000,0.020,-0.012,0.412,-165.9
181.000,0.000,0.018,-0.012,0.384,-165.9
186.000,0.000,0.019,-0.011,0.393,-165.8
191.000,0.000,0.017,-0.012,0.350,-165.8
196.000,0.000,0.016,-0.011,0.331,-165.8
201.000,0.000,0.015,-0.010,0.315,-165.7
206.000,0.000,0.015,-0.010,0.307,-165.7
211.000,0.000,0.016,-0.009,0.306,-165.7
216.000,0.000,0.016,-0.010,0.313,-165.6
221.000,0.000,0.016,-0.010,0.296,-165.6
226.000,0.000,0.016,-0.010,0.304,-165.6
231.000,0.000,0.017,-0.010,0.306,-165.5
236.000,0.000,0.015,-0.010,0.273,-165.5
241.000,0.000,0.013,-0.009,0.235,-165.5
246.000,0.000,0.014,-0.008,0.251,-165.5
251.000,0.000,0.012,-0.009,0.203,-165.4
256.000,0.000,0.011,-0.007,0.199,-165.4
261.000,0.000,0.013,-0.007,0.228,-165.4
266.000,0.000,0.014,-0.008,0.238,-165.4
271.000,0.000,0.013,-0.009,0.208,-165.3
276.000,0.000,0.012,-0.008,0.185,-165.3
281.000,0.000,0.008,-0.007,0.126,-165.3
286.000,0.000,0.006,-0.005,0.093,-165.3
291.000,0.000,0.002,-0.004,0.029,-165.3
296.000,0.000,0.002,-0.001,0.031,-165.2
301.000,0.000,0.004,-0.001,0.055,-165.2
306.000,0.000,0.005,-0.002,0.072,-165.2
311.000,0.000,0.003,-0.003,0.037,-165.2
316.000,0.000,-0.000,-0.002,-0.011,-165.2
321.000,0.000,-0.004,0.000,-0.066,-165.2
326.000,0.000,-0.006,0.002,-0.100,-165.2
331.000,0.000,-0.006,0.004,-0.097,-165.2
336.000,0.000,-0.006,0.004,-0.088,-165.3
341.000,0.000,-0.007,0.004,-0.110,-165.3
346.000,0.000,-0.004,0.004,-0.051,-165.3
351.000,0.000,-0.005,0.002,-0.077,-165.3
356.000,0.000,-0.006,0.003,-0.094,-165.3
361.000,0.000,-0.008,0.004,-0.122,-165.3
366.000,0.000,-0.011,0.005,-0.158,-165.3
371.000,0.000,-0.010,0.007,-0.152,-165.3
376.000,0.000,-0.011,0.006,-0.164,-165.4
381.000,0.000,-0.010,0.007,-0.145,-165.4
386.000,0.000,-0.009,0.006,-0.113,-165.4
391.000,0.000,-0.010,0.005,-0.143,-165.4
396.000,0.000,-0.011,0.006,-0.152,-165.4
401.000,0.000,-0.014,0.007,-0.189,-165.5
406.000,0.000,-0.017,0.009,-0.241,-165.5
411.000,0.000,-0.017,0.011,-0.230,-165.5
416.000,0.000,-0.019,0.010,-0.255,-165.6
421.000,0.000,-0.019,0.012,-0.248,-165.6
426.000,0.000,-0.018,0.012,-0.232,-165.6
431.000,0.000,-0.020,0.011,-0.266,-165.7
436.000,0.000,-0.022,0.012,-0.291,-165.7
441.000,0.000,-0.023,0.014,-0.303,-165.8
446.000,0.000,-0.023,0.014,-0.294,-165.8
451.000,0.000,-0.024,0.014,-0.311,-165.9
456.000,0.000,-0.023,0.015,-0.278,-165.9
461.000,0.000,-0.021,0.014,-0.244,-165.9
466.000,0.000,-0.021,0.013,-0.243,-166.0
471.000,0.000,-0.043,0.013,-0.600,-166.0
476.000,0.000,-0.071,0.027,-2.017,-166.1
481.000,0.000,-0.073,0.044,-2.003,-166.3
486.000,0.000,-0.081,0.045,-2.108,-166.4
491.000,0.000,-0.109,0.051,-2.691,-166.6
496.000,0.000,-0.123,0.068,-2.851,-166.8
501.000,0.000,-0.144,0.076,-3.136,-167.0
506.000,0.000,-0.156,0.089,-3.277,-167.3
511.000,0.000,-0.162,0.097,-3.309,-167.6
516.000,0.000,-0.169,0.101,-3.364,-168.0
521.000,0.000,-0.167,0.105,-3.267,-168.3
526.000,0.000,-0.161,0.104,-3.108,-168.6
531.000,0.000,-0.153,0.100,-2.939,-168.9
536.000,0.000,-0.145,0.095,-2.761,-169.3
541.000,0.000,-0.134,0.090,-2.531,-169.5
546.000,0.000,-0.126,0.083,-2.377,-169.8
551.000,0.000,-0.123,0.078,-2.293,-170.1
556.000,0.000,-0.120,0.076,-2.202,-170.3
561.000,0.000,-0.116,0.074,-2.108,-170.6
566.000,0.000,-0.116,0.072,-2.069,-170.8
571.000,0.000,-0.105,0.072,-1.860,-171.0
576.000,0.000,-0.088,0.065,-1.559,-171.2
581.000,0.000,-0.061,0.055,-1.066,-171.4
586.000,0.000,-0.033,0.038,-0.518,-171.5
