Time [ms],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m],Kpt,Tit,Tdt,Kpv,Tiv,Tdv
0,0,0.048,0.262,1.825,-111,2.74,0,0.55,6,2,0
5,0,0.048,0.261,1.772,-110.9,,,,,,
10,0,0.049,0.261,1.741,-110.8,,,,,,
15,0,0.049,0.259,1.723,-110.7,,,,,,
20,0,0.049,0.255,1.686,-110.6,,,,,,
25,0,0.049,0.254,1.65,-110.5,,,,,,
30,0,0.05,0.253,1.63,-110.4,,,,,,
35,0,0.051,0.25,1.626,-110.3,,,,,,
40,0,0.051,0.244,1.585,-110.2,,,,,,
45,0,0.052,0.243,1.588,-110.1,,,,,,
50,0,0.052,0.236,1.538,-110,,,,,,
55,0,0.051,0.238,1.476,-109.9,,,,,,
60,0,0.05,0.243,1.431,-109.8,,,,,,
65,0,0.05,0.246,1.399,-109.7,,,,,,
70,0,0.05,0.247,1.365,-109.6,,,,,,
75,0,0.05,0.248,1.359,-109.5,,,,,,
81,0,0.049,0.243,1.304,-109.4,,,,,,
86,0,0.05,0.247,1.281,-109.3,,,,,,
91,0,0.049,0.246,1.239,-109.2,,,,,,
96,0,0.05,0.248,1.233,-109.1,,,,,,
101,0,0.048,0.245,1.149,-109,,,,,,
106,0,0.046,0.255,1.085,-108.9,,,,,,
111,0,0.046,0.264,1.068,-108.8,,,,,,
116,0,0.046,0.265,1.055,-108.7,,,,,,
121,0,0.046,0.263,1.027,-108.6,,,,,,
126,0,0.046,0.264,1.024,-108.5,,,,,,
131,0,0.045,0.261,0.959,-108.4,,,,,,
136,0,0.044,0.269,0.911,-108.3,,,,,,
141,0,0.043,0.275,0.874,-108.3,,,,,,
146,0,0.042,0.28,0.836,-108.2,,,,,,
151,0,0.041,0.285,0.776,-108.1,,,,,,
156,0,0.04,0.294,0.739,-108,,,,,,
161,0,0.038,0.3,0.691,-107.9,,,,,,
166,0,0.037,0.308,0.654,-107.8,,,,,,
171,0,0.035,0.314,0.588,-107.8,,,,,,
176,0,0.033,0.325,0.529,-107.7,,,,,,
181,0,0.032,0.337,0.486,-107.6,,,,,,
186,0,0.031,0.346,0.466,-107.6,,,,,,
191,0,0.03,0.35,0.454,-107.5,,,,,,
196,0,0.028,0.353,0.392,-107.5,,,,,,
201,0,0.025,0.364,0.303,-107.4,,,,,,
206,0,0.024,0.382,0.282,-107.3,,,,,,
211,0,0.022,0.389,0.221,-107.3,,,,,,
216,0,0.02,0.402,0.166,-107.3,,,,,,
221,0,0.019,0.415,0.149,-107.2,,,,,,
226,0,0.015,0.422,0.058,-107.2,,,,,,
231,0,0.013,0.441,-0.003,-107.1,,,,,,
236,0,0.011,0.457,-0.043,-107.1,,,,,,
241,0,0.009,0.47,-0.072,-107.1,,,,,,
246,0,0.007,0.48,-0.123,-107.1,,,,,,
251,0,0.006,0.493,-0.119,-107.1,,,,,,
256,0,0.004,0.498,-0.171,-107.1,,,,,,
261,0,0.001,0.511,-0.22,-107,,,,,,
266,0,0,0.526,-0.223,-107,,,,,,
271,0,-0.002,0.532,-0.28,-107,,,,,,
276,0,-0.004,0.548,-0.296,-107.1,,,,,,
281,0,-0.005,0.557,-0.297,-107.1,,,,,,
286,0,-0.006,0.563,-0.298,-107.1,,,,,,
291,0,-0.008,0.568,-0.337,-107.1,,,,,,
296,0,-0.011,0.58,-0.39,-107.1,,,,,,
301,0,-0.012,0.597,-0.405,-107.1,,,,,,
