Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
0,-1.901,0,0,0,-0.717,-2080.8
20,-0.986,0,0,0,-0.716,-2080.8
40,-4.583,0,0,0,-0.73,-2080.8
60,200,0,0,0,11.29,-2080.8
80,-127.61,0,0,0,17.385,-2080.8
100,-200,0,0,0,9.153,-2080.8
120,-177.112,0,0,0,3.204,-2080.8
140,-200,0,0,0,-2.936,-2080.8
160,-68.046,0,0,0,-5.282,-2080.8
180,-84.247,0,0,0,-8.384,-2080.8
200,-76.849,0,0,0,-9.283,-2080.8
220,-22.01,0,0,0,-9.769,-2080.8
240,-47.091,0,0,0,-10.429,-2080.8
260,-19.681,0,0,0,-10.378,-2080.8
280,-14.763,0,0,0,-9.373,-2080.8
300,91.801,0,0,0,-6.784,-2080.8
320,56.545,0,0,0,-4.375,-2080.8
340,13.887,0,0,0,-3.422,-2080.8
360,31.802,0,0,0,-2.404,-2080.8
380,9.884,0,0,0,-1.631,-2080.8
400,0.852,0,0,0,-1.514,-2080.8
420,11.23,0,0,0,-1.204,-2080.8
440,1.067,0,0,0,-0.994,-2080.8
460,-9.117,0,0,0,-1.14,-2080.8
480,1.945,0,0,0,-1.105,-2080.8
500,3.748,0,0,0,-0.802,-2080.8
520,-5.18,0,0,0,-0.868,-2080.8
540,2.099,0,0,0,-0.818,-2080.8
560,-1.953,0,0,0,-0.771,-2080.8
580,-7.025,0,0,0,-0.863,-2080.8
