Time [ms],Speed_target [m/s],Speed [m/s],Theta_Target [deg], Theta [deg],Position [m]
0,-0.2,0.001,-0.123,-0.655,-407.8
5,-0.2,0.002,-0.124,-0.607,-407.8
10,-0.2,-0.001,-0.125,-0.609,-407.8
15,-0.2,0.001,-0.124,-0.589,-407.8
20,-0.2,0,-0.124,-0.582,-407.8
25,-0.2,-0.001,-0.124,-0.587,-407.8
30,-0.2,-0.002,-0.123,-0.62,-407.8
35,-0.2,0,-0.122,-0.612,-407.8
40,-0.2,-0.002,-0.124,-0.63,-407.8
45,-0.2,0,-0.123,-0.628,-407.8
50,-0.2,0.001,-0.124,-0.606,-407.8
55,-0.2,-0.001,-0.125,-0.621,-407.8
60,-0.2,-0.001,-0.123,-0.629,-407.8
65,-0.2,-0.001,-0.123,-0.637,-407.8
70,-0.2,0.001,-0.123,-0.615,-407.8
75,-0.2,0.001,-0.125,-0.599,-407.8
80,-0.2,0,-0.124,-0.599,-407.8
85,-0.2,-0.002,-0.124,-0.616,-407.8
90,-0.2,-0.001,-0.123,-0.628,-407.8
95,-0.2,-0.002,-0.123,-0.655,-407.8
100,-0.2,-0.002,-0.123,-0.679,-407.8
105,-0.2,-0.002,-0.123,-0.698,-407.8
110,-0.2,-0.001,-0.123,-0.701,-407.8
115,-0.2,-0.001,-0.124,-0.706,-407.8
120,-0.2,0.002,-0.123,-0.666,-407.8
125,-0.2,0.003,-0.125,-0.608,-407.8
130,-0.2,-0.001,-0.126,-0.612,-407.8
135,-0.2,0,-0.124,-0.608,-407.8
140,-0.2,-0.002,-0.124,-0.638,-407.8
145,-0.2,-0.003,-0.123,-0.676,-407.8
150,-0.2,-0.001,-0.122,-0.678,-407.8
155,-0.2,0.002,-0.124,-0.645,-407.8
160,-0.2,-0.001,-0.125,-0.649,-407.8
165,-0.2,-0.001,-0.124,-0.648,-407.8
170,-0.2,0.001,-0.124,-0.63,-407.8
175,-0.2,0,-0.124,-0.616,-407.8
180,-0.2,0,-0.124,-0.604,-407.8
185,-0.2,0.001,-0.124,-0.582,-407.8
190,-0.2,-0.001,-0.125,-0.585,-407.8
196,-0.2,0,-0.124,-0.583,-407.8
201,-0.2,-0.001,-0.124,-0.584,-407.8
206,-0.2,-0.001,-0.124,-0.591,-407.8
211,-0.2,-0.001,-0.123,-0.6,-407.8
216,-0.2,-0.001,-0.123,-0.605,-407.8
221,-0.2,0,-0.123,-0.601,-407.8
226,-0.2,0,-0.124,-0.592,-407.8
231,-0.2,0,-0.124,-0.587,-407.8
236,-0.2,-0.002,-0.124,-0.617,-407.8
241,-0.2,-0.001,-0.123,-0.618,-407.8
246,-0.2,-0.001,-0.124,-0.63,-407.8
251,-0.2,-0.001,-0.123,-0.634,-407.8
256,-0.2,-0.002,-0.124,-0.654,-407.8
261,-0.2,-0.001,-0.123,-0.665,-407.8
266,-0.2,0.001,-0.123,-0.641,-407.8
271,-0.2,0,-0.125,-0.627,-407.8
276,-0.2,0.001,-0.124,-0.602,-407.8
281,-0.2,-0.001,-0.125,-0.611,-407.8
286,-0.2,-0.001,-0.123,-0.625,-407.8
291,-0.2,-0.001,-0.123,-0.627,-407.8
296,-0.2,0.001,-0.124,-0.605,-407.8
301,-0.2,-0.002,-0.125,-0.624,-407.8
307,-0.2,-0.001,-0.123,-0.623,-407.8
312,-0.2,0.001,-0.124,-0.602,-407.8
317,-0.2,-0.002,-0.124,-0.627,-407.8
322,-0.2,0,-0.123,-0.62,-407.8
327,-0.2,0.001,-0.124,-0.604,-407.8
332,-0.2,0.002,-0.124,-0.566,-407.8
337,-0.2,-0.001,-0.125,-0.579,-407.8
342,-0.2,-0.001,-0.123,-0.586,-407.8
347,-0.2,-0.001,-0.123,-0.592,-407.8
352,-0.2,-0.001,-0.123,-0.597,-407.8
357,-0.2,-0.002,-0.124,-0.62,-407.8
362,-0.2,0.002,-0.123,-0.576,-407.8
367,-0.2,0,-0.125,-0.574,-407.8
372,-0.2,-0.002,-0.124,-0.599,-407.8
377,-0.2,-0.001,-0.123,-0.613,-407.8
382,-0.2,-0.003,-0.123,-0.653,-407.8
387,-0.2,0,-0.122,-0.635,-407.8
392,-0.2,0,-0.124,-0.625,-407.8
