Time [ms],Speed_target [m/s],Speed [m/s],Theta_Target [deg], Theta [deg],Position [m]
0,0.2,-0.002,0.123,-0.631,-390
5,0.2,-0.002,0.125,-0.646,-390
10,0.2,0.001,0.125,-0.622,-390
15,0.2,0.002,0.124,-0.579,-390
20,0.2,0.002,0.123,-0.534,-390
25,0.2,-0.002,0.123,-0.552,-390
30,0.2,-0.001,0.125,-0.552,-390
35,0.2,-0.001,0.125,-0.565,-390
40,0.2,-0.002,0.125,-0.58,-390
45,0.2,-0.003,0.125,-0.618,-390
50,0.2,-0.001,0.126,-0.618,-390
55,0.2,-0.001,0.124,-0.628,-390
60,0.2,-0.002,0.125,-0.645,-390
65,0.2,0.001,0.125,-0.613,-390
70,0.2,-0.002,0.123,-0.634,-390
75,0.2,-0.001,0.125,-0.636,-390
80,0.2,-0.002,0.125,-0.655,-390
85,0.2,-0.003,0.125,-0.695,-390
90,0.2,0.001,0.126,-0.663,-390
95,0.2,0.002,0.123,-0.613,-390
100,0.2,0.001,0.122,-0.593,-390
105,0.2,0,0.124,-0.579,-390
110,0.2,-0.001,0.124,-0.591,-390
115,0.2,0.001,0.125,-0.557,-390
120,0.2,-0.002,0.123,-0.586,-390
125,0.2,0.001,0.125,-0.564,-390
130,0.2,-0.001,0.124,-0.575,-390
135,0.2,-0.001,0.125,-0.573,-390
140,0.2,0,0.124,-0.557,-390
145,0.2,0,0.124,-0.55,-390
150,0.2,-0.001,0.124,-0.552,-390
155,0.2,-0.001,0.125,-0.565,-390
160,0.2,-0.002,0.125,-0.58,-390
165,0.2,-0.001,0.125,-0.589,-390
170,0.2,-0.002,0.125,-0.612,-390
175,0.2,-0.001,0.125,-0.618,-390
180,0.2,-0.002,0.125,-0.634,-390
185,0.2,-0.003,0.125,-0.675,-390
190,0.2,-0.004,0.126,-0.726,-390
195,0.2,-0.001,0.126,-0.735,-390.1
200,0.2,-0.002,0.125,-0.763,-390.1
205,0.2,-0.001,0.126,-0.761,-390.1
210,0.2,-0.001,0.125,-0.761,-390.1
215,0.2,-0.002,0.125,-0.772,-390.1
220,0.2,0.002,0.125,-0.732,-390.1
225,0.2,0,0.123,-0.714,-390.1
230,0.2,0,0.124,-0.698,-390.1
235,0.2,0.002,0.124,-0.65,-390.1
240,0.2,0.002,0.123,-0.606,-390.1
245,0.2,-0.001,0.123,-0.609,-390.1
250,0.2,-0.002,0.125,-0.631,-390.1
255,0.2,0.001,0.125,-0.595,-390.1
260,0.2,0.001,0.123,-0.573,-390.1
265,0.2,-0.002,0.124,-0.586,-390.1
271,0.2,-0.002,0.125,-0.604,-390.1
276,0.2,-0.001,0.125,-0.605,-390.1
281,0.2,0.002,0.125,-0.569,-390.1
286,0.2,-0.001,0.123,-0.572,-390.1
291,0.2,-0.002,0.125,-0.584,-390.1
296,0.2,-0.002,0.125,-0.608,-390.1
301,0.2,-0.001,0.125,-0.611,-390.1
306,0.2,0,0.125,-0.598,-390.1
311,0.2,-0.002,0.124,-0.614,-390.1
316,0.2,-0.002,0.125,-0.625,-390.1
321,0.2,-0.001,0.125,-0.631,-390.1
326,0.2,0,0.125,-0.624,-390.1
331,0.2,0.001,0.124,-0.593,-390.1
336,0.2,-0.001,0.123,-0.596,-390.1
341,0.2,-0.001,0.125,-0.598,-390.1
346,0.2,0,0.125,-0.585,-390.1
351,0.2,0,0.124,-0.577,-390.1
356,0.2,0.001,0.124,-0.551,-390.1
361,0.2,0,0.123,-0.537,-390.1
366,0.2,-0.001,0.124,-0.545,-390.1
371,0.2,0,0.125,-0.53,-390.1
376,0.2,-0.002,0.124,-0.545,-390.1
381,0.2,0,0.125,-0.54,-390.1
386,0.2,0.002,0.124,-0.501,-390.1
391,0.2,0,0.123,-0.492,-390.1
396,0.2,0.002,0.124,-0.442,-390.1
401,0.2,0,0.122,-0.426,-390.1
406,0.2,-0.003,0.124,-0.459,-390.1
411,0.2,-0.001,0.126,-0.461,-390.1
416,0.2,-0.001,0.125,-0.471,-390.1
421,0.2,-0.001,0.125,-0.471,-390.1
426,0.2,-0.002,0.124,-0.49,-390.1
431,0.2,-0.004,0.125,-0.548,-390.1
436,0.2,0,0.127,-0.537,-390.1
441,0.2,-0.002,0.124,-0.569,-390.1
446,0.2,-0.003,0.126,-0.597,-390.1
451,0.2,0,0.126,-0.584,-390.1
456,0.2,0,0.124,-0.567,-390.1
461,0.2,0,0.124,-0.559,-390.1
466,0.2,-0.002,0.124,-0.574,-390.1
471,0.2,-0.003,0.125,-0.605,-390.1
476,0.2,-0.001,0.126,-0.609,-390.1
481,0.2,-0.001,0.125,-0.61,-390.1
486,0.2,0,0.124,-0.6,-390.1
491,0.2,-0.001,0.124,-0.609,-390.1
496,0.2,0.002,0.125,-0.569,-390.1
501,0.2,0.001,0.123,-0.542,-390.1
506,0.2,0,0.123,-0.529,-390.1
,,,,,
511,0.2,0,0.124,-0.525,-390.1
516,0.2,0,0.124,-0.511,-390.1
521,0.2,-0.001,0.124,-0.52,-390.1
526,0.2,-0.002,0.125,-0.539,-390.1
531,0.2,0,0.125,-0.524,-390.1
536,0.2,-0.001,0.124,-0.536,-390.1
541,0.2,-0.002,0.125,-0.559,-390.1
546,0.2,-0.004,0.125,-0.604,-390.1
551,0.2,-0.001,0.126,-0.602,-390.1
556,0.2,-0.003,0.124,-0.634,-390.1
561,0.2,-0.001,0.126,-0.631,-390.2
566,0.2,-0.001,0.124,-0.636,-390.2
571,0.2,-0.002,0.125,-0.657,-390.2
576,0.2,0,0.125,-0.651,-390.2
581,0.2,-0.001,0.124,-0.648,-390.2
586,0.2,-0.001,0.124,-0.654,-390.2
591,0.2,0,0.125,-0.639,-390.2
596,0.2,-0.001,0.124,-0.644,-390.2
601,0.2,0,0.125,-0.627,-390.2
606,0.2,-0.002,0.124,-0.641,-390.2
611,0.2,0.001,0.125,-0.616,-390.2
616,0.2,0,0.124,-0.597,-390.2
621,0.2,-0.002,0.124,-0.616,-390.2
626,0.2,-0.001,0.125,-0.623,-390.2
631,0.2,-0.001,0.125,-0.628,-390.2
636,0.2,-0.001,0.125,-0.629,-390.2
641,0.2,-0.003,0.125,-0.663,-390.2
646,0.2,0.001,0.126,-0.637,-390.2
651,0.2,0.001,0.124,-0.612,-390.2
656,0.2,-0.001,0.123,-0.611,-390.2
661,0.2,-0.001,0.124,-0.609,-390.2
666,0.2,0,0.124,-0.601,-390.2
671,0.2,-0.002,0.124,-0.627,-390.2
676,0.2,-0.002,0.125,-0.638,-390.2
681,0.2,-0.001,0.125,-0.644,-390.2
686,0.2,-0.001,0.125,-0.643,-390.2
691,0.2,-0.002,0.124,-0.655,-390.2
696,0.2,-0.002,0.125,-0.667,-390.2
701,0.2,-0.001,0.125,-0.672,-390.2
706,0.2,-0.002,0.125,-0.699,-390.2
711,0.2,-0.002,0.126,-0.714,-390.2
716,0.2,0.003,0.125,-0.65,-390.2
721,0.2,0,0.122,-0.643,-390.2
726,0.2,0,0.124,-0.63,-390.2
731,0.2,0,0.124,-0.622,-390.2
736,0.2,0,0.124,-0.602,-390.2
741,0.2,0.001,0.124,-0.568,-390.2
746,0.2,0,0.123,-0.552,-390.2
751,0.2,0.002,0.124,-0.512,-390.2
756,0.2,-0.001,0.123,-0.512,-390.2
761,0.2,-0.001,0.124,-0.519,-390.2
766,0.2,-0.002,0.125,-0.538,-390.2
771,0.2,0,0.125,-0.523,-390.2
776,0.2,0,0.124,-0.521,-390.2
781,0.2,-0.001,0.124,-0.533,-390.2
786,0.2,-0.002,0.125,-0.556,-390.2
791,0.2,-0.003,0.125,-0.586,-390.2
796,0.2,-0.004,0.126,-0.632,-390.2
801,0.2,-0.001,0.126,-0.634,-390.2
806,0.2,-0.002,0.125,-0.664,-390.2
811,0.2,-0.001,0.126,-0.659,-390.2
816,0.2,0.001,0.124,-0.638,-390.2
821,0.2,0.003,0.124,-0.577,-390.2
826,0.2,-0.002,0.122,-0.595,-390.2
831,0.2,-0.003,0.125,-0.633,-390.2
836,0.2,-0.004,0.126,-0.687,-390.2
841,0.2,-0.003,0.127,-0.719,-390.2
846,0.2,0,0.126,-0.714,-390.2
851,0.2,-0.001,0.124,-0.722,-390.2
856,0.2,0.002,0.125,-0.674,-390.3
861,0.2,0,0.123,-0.661,-390.2
866,0.2,0.003,0.124,-0.602,-390.2
871,0.2,0.002,0.122,-0.554,-390.2
876,0.2,0.002,0.123,-0.517,-390.2
881,0.2,0,0.123,-0.502,-390.2
886,0.2,-0.002,0.124,-0.517,-390.2
891,0.2,-0.003,0.125,-0.552,-390.2
896,0.2,-0.001,0.126,-0.561,-390.2
901,0.2,-0.001,0.125,-0.565,-390.2
906,0.2,-0.001,0.125,-0.571,-390.2
911,0.2,0.001,0.125,-0.539,-390.2
916,0.2,0.002,0.123,-0.5,-390.2
921,0.2,0.001,0.123,-0.477,-390.2
