Time [ms],Speed_target [m/s],Speed [m/s],Theta_Target [°], Theta [°]
0.000,0.185,0.130,0.294,-0.180
6.000,0.184,0.131,0.325,-0.155
11.000,0.183,0.130,0.343,-0.111
16.000,0.183,0.130,0.345,-0.101
21.000,0.182,0.129,0.355,-0.058
26.000,0.181,0.129,0.352,-0.043
31.000,0.181,0.131,0.357,-0.087
36.000,0.180,0.131,0.395,-0.052
41.000,0.179,0.131,0.411,-0.020
46.000,0.179,0.131,0.417,-0.024
51.000,0.178,0.131,0.436,0.032
56.000,0.177,0.129,0.432,0.072
61.000,0.177,0.128,0.423,0.122
66.000,0.176,0.125,0.407,0.188
71.000,0.175,0.123,0.377,0.237
76.000,0.175,0.121,0.350,0.253
81.000,0.174,0.120,0.339,0.281
86.000,0.173,0.120,0.330,0.290
91.000,0.173,0.119,0.332,0.316
96.000,0.172,0.119,0.331,0.302
101.000,0.171,0.120,0.347,0.298
106.000,0.171,0.119,0.368,0.335
111.000,0.170,0.121,0.371,0.303
116.000,0.169,0.122,0.399,0.294
121.000,0.169,0.123,0.429,0.293
126.000,0.168,0.122,0.456,0.336
131.000,0.167,0.121,0.459,0.393
136.000,0.167,0.118,0.444,0.449
141.000,0.166,0.116,0.418,0.494
146.000,0.165,0.113,0.392,0.562
151.000,0.165,0.112,0.354,0.564
156.000,0.164,0.112,0.342,0.549
161.000,0.163,0.112,0.352,0.560
166.000,0.163,0.112,0.360,0.565
171.000,0.162,0.112,0.370,0.569
176.000,0.161,0.112,0.382,0.576
181.000,0.161,0.111,0.393,0.612
186.000,0.160,0.111,0.389,0.597
191.000,0.159,0.111,0.403,0.598
196.000,0.159,0.111,0.418,0.622
201.000,0.158,0.110,0.422,0.651
206.000,0.157,0.108,0.418,0.693
211.000,0.157,0.106,0.403,0.756
216.000,0.156,0.105,0.371,0.751
221.000,0.155,0.103,0.365,0.772
226.000,0.155,0.102,0.357,0.788
231.000,0.154,0.102,0.352,0.800
236.000,0.153,0.102,0.350,0.796
241.000,0.153,0.101,0.358,0.796
246.000,0.152,0.102,0.368,0.768
251.000,0.151,0.104,0.394,0.750
256.000,0.151,0.105,0.423,0.745
261.000,0.150,0.105,0.447,0.756
266.000,0.149,0.106,0.462,0.744
271.000,0.149,0.106,0.484,0.751
276.000,0.148,0.106,0.499,0.753
281.000,0.147,0.105,0.513,0.801
286.000,0.147,0.105,0.504,0.791
291.000,0.146,0.105,0.513,0.774
296.000,0.145,0.106,0.533,0.762
301.000,0.145,0.108,0.558,0.722
306.000,0.144,0.111,0.600,0.686
311.000,0.143,0.112,0.649,0.708
316.000,0.143,0.113,0.671,0.691
321.000,0.142,0.114,0.702,0.689
326.000,0.141,0.114,0.729,0.718
331.000,0.141,0.114,0.738,0.726
336.000,0.140,0.114,0.749,0.724
341.000,0.139,0.114,0.766,0.743
346.000,0.139,0.114,0.776,0.767
351.000,0.138,0.113,0.779,0.810
356.000,0.137,0.112,0.769,0.805
361.000,0.137,0.112,0.777,0.822
