Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
5028,0,0,-0.034,0.421,-0.761,596
5048,0,0,-0.036,0.436,-0.738,595.8
5068,0,0,-0.056,0.677,-0.95,595.4
5088,0,0,-0.061,0.817,-0.838,594.9
5108,0,0,-0.068,0.823,-0.919,594.4
5128,0,0,-0.077,1.019,-0.833,593.8
5148,0,0,-0.078,0.993,-0.775,593.2
5168,0,0,-0.075,1.016,-0.538,592.6
5188,0,0,-0.062,0.841,-0.27,592
5208,0,0,-0.045,0.651,0.076,591.6
5228,0,0,-0.033,0.48,0.238,591.3
5248,0,0,-0.001,0.105,0.745,591.1
5268,0,0,0.011,-0.099,0.833,591.1
5288,0,0,0.035,-0.393,1.107,591.3
5308,0,0,0.043,-0.512,1.106,591.6
5328,0,0,0.067,-0.795,1.356,592
5348,0,0,0.074,-0.955,1.238,592.6
5368,0,0,0.098,-1.225,1.488,593.3
5388,0,0,0.11,-1.396,1.45,594.1
5408,0,0,0.124,-1.585,1.443,595
5428,0,0,0.1,-1.348,0.856,595.9
5448,0,0,0.105,-1.342,0.854,596.7
5468,0,-0.003,0.076,-1.157,0.11,597.5
5488,0,-0.01,0.078,-1.118,0.121,598.1
5508,0,-0.018,0.054,-1.02,-0.518,598.7
5528,0,-0.024,0.052,-0.94,-0.497,599.1
5548,0,-0.032,0.048,-1.167,-0.892,599.5
5568,0,-0.038,0.009,-0.592,-1.366,599.7
5589,0,-0.046,0.036,-1.109,-1.102,599.9
5609,0,-0.053,0.007,-0.771,-1.552,600.1
5629,0,-0.06,0.034,-1.199,-1.208,600.2
5649,0,-0.067,0.021,-1.129,-1.465,600.5
5669,0,-0.074,0.034,-1.404,-1.369,600.7
5689,0,-0.081,0.036,-1.499,-1.419,601
5709,0,-0.088,0.042,-1.692,-1.475,601.3
5729,0,-0.095,0.039,-1.738,-1.599,601.6
5749,0,-0.102,0.039,-1.867,-1.736,601.9
5769,0,-0.109,0.038,-1.915,-1.835,602.2
5789,0,-0.116,0.038,-2.008,-1.938,602.5
5809,0,-0.123,0.038,-2.077,-1.993,602.8
5829,0,-0.13,0.033,-2.166,-2.222,603.1
5849,0,-0.137,0.025,-2.128,-2.413,603.4
5869,0,-0.144,0.012,-2.064,-2.668,603.5
5889,0,-0.151,-0.001,-1.983,-2.901,603.6
5909,0,-0.158,-0.018,-1.886,-3.202,603.5
5929,0,-0.165,-0.035,-1.739,-3.432,603.3
5949,0,-0.172,-0.058,-1.56,-3.756,603
5969,0,-0.179,-0.078,-1.331,-3.912,602.5
5989,0,-0.186,-0.093,-1.329,-4.152,601.8
6009,0,-0.193,-0.117,-1.003,-4.286,601
6029,0,-0.2,-0.111,-1.179,-4.088,600.1
6049,0,-0.207,-0.155,-0.746,-4.65,599
6069,0,-0.214,-0.121,-1.081,-3.816,597.9
