Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
1602,-36.475,0,-0.078,1.826,-0.317,565
1622,107.173,0.005,-0.002,0.982,2.518,563.8
1642,-45.389,0.012,-0.008,0.196,1.316,563.9
1662,104.916,0.019,0.056,-0.216,3.768,564
1682,-41.291,0.026,0.072,-1.515,2.813,565.5
1702,103.101,0.033,0.123,-1.642,4.748,567
1722,-46.421,0.04,0.14,-2.998,3.602,569.9
1742,88.884,0.047,0.177,-2.808,5.027,572.7
1762,-59.814,0.054,0.177,-3.72,3.469,576.5
1782,100.206,0.061,0.206,-3.125,4.887,579.9
1802,-87.934,0.068,0.206,-4.326,3.006,584.4
1823,90.047,0.076,0.217,-3.118,4.202,588.5
1843,-99.795,0.083,0.196,-3.774,1.97,593
1863,78.001,0.09,0.199,-2.359,3.148,596.6
1883,-109.742,0.097,0.181,-3.064,1.113,600.9
1903,46.121,0.104,0.161,-1.187,1.802,604.1
1923,-112.012,0.111,0.141,-1.641,0.155,607.5
1943,49.142,0.118,0.108,0.626,0.83,609.7
1963,-118.306,0.125,0.097,-0.125,-0.517,612.3
1983,47.83,0.132,0.047,2.617,0.068,613.4
2003,-86.691,0.139,0.061,1.428,-0.337,614.8
2024,40.36,0.146,0.003,4.119,-0.069,615.2
2044,-51.481,0.153,0.033,2.839,0.262,615.8
2064,50.579,0.16,-0.007,4.853,0.71,615.8
2084,-66.634,0.167,0.021,3.412,0.824,616.2
2104,68.301,0.174,0.003,5,1.843,616.1
2124,-56.776,0.181,0.04,3.342,2.08,616.8
2144,76.655,0.188,0.027,4.861,3.172,617.1
2164,-18.097,0.195,0.086,2.785,3.833,618.4
2184,72.407,0.202,0.082,3.733,4.596,619.8
2204,1.603,0.209,0.149,1.618,5.399,622.2
2224,77.086,0.216,0.166,1.9,6.224,625
2244,0.783,0.223,0.227,-0.114,6.626,629
2264,47.866,0.23,0.221,0.593,6.554,633.3
2284,13.353,0.237,0.292,-1.383,7.332,638.5
2304,31.031,0.244,0.278,-0.677,6.736,644.1
2324,34.881,0.251,0.367,-2.846,8.039,650.4
2345,9.453,0.258,0.337,-2.029,6.643,657.8
2365,22.187,0.265,0.409,-3.688,7.584,665.2
2385,59.491,0.272,0.385,-2.574,6.771,672.9
2405,-0.501,0.279,0.448,-4.507,6.947,681.3
2425,33.098,0.286,0.422,-3.376,6.045,689.9
2445,18.317,0.293,0.465,-4.471,6.212,698.7
2465,34.506,0.3,0.444,-3.588,5.34,707.6
2485,-22.169,0.307,0.471,-4.533,4.879,716.9
2505,79.662,0.314,0.469,-3.567,5.14,726
2525,-58.756,0.321,0.472,-4.464,3.625,735.7
2545,53.278,0.328,0.504,-4.311,4.653,745.2
2565,-62.054,0.335,0.444,-3.358,2.148,755
2585,13.219,0.342,0.481,-3.627,3.18,764.1
2605,11.285,0.349,0.442,-2.387,2.101,773.4
2625,-80.38,0.356,0.462,-3.428,1.604,782.7
2645,27.324,0.363,0.412,-1.089,1.3,791.2
2665,-54.301,0.37,0.44,-2.272,1.193,799.9
2685,16.156,0.377,0.365,0.441,0.3,807.8
2705,-50.143,0.384,0.388,-0.478,0.393,815.5
2725,20.941,0.391,0.332,1.728,0.038,822.6
2745,-66.749,0.398,0.337,1.139,-0.255,829.6
2765,35.072,0.405,0.283,3.538,-0.166,835.5
2785,-33.268,0.412,0.297,2.836,0.038,841.5
2805,33.359,0.419,0.273,4.154,0.52,847
2825,-45.963,0.426,0.285,3.437,0.582,852.9
2846,46.918,0.433,0.255,5,1.034,858
2866,-42.906,0.441,0.276,4.103,1.35,863.8
2886,56.577,0.448,0.27,5,2.246,868.9
2906,-34.483,0.455,0.298,3.926,2.651,874.8
2926,86.101,0.462,0.313,4.623,4.15,880.5
2946,-43.661,0.469,0.357,2.658,4.193,887.5
2966,69.172,0.476,0.332,4.352,4.691,894
2986,18.231,0.483,0.42,1.814,6.08,901.6
3006,31.842,0.49,0.402,2.586,5.726,909.7
3026,9.716,0.497,0.467,0.882,6.691,918.4
3046,44.946,0.504,0.456,1.595,6.531,927.5
3066,-9.795,0.511,0.514,-0.168,6.976,937.3
3086,64.853,0.518,0.535,0.011,7.603,947.6
3106,-45.988,0.525,0.549,-0.989,6.599,958.6
3126,59.952,0.532,0.605,-1.525,8.072,969.9
3146,-52.024,0.539,0.572,-1.283,6.046,981.9
3166,56.707,0.546,0.641,-2.123,7.777,993.7
3186,-2.462,0.553,0.617,-1.733,6.32,1006.4
3206,-24.676,0.56,0.654,-2.711,6.396,1019.2
3226,36.486,0.567,0.628,-1.365,5.885,1031.8
3246,-48.625,0.574,0.628,-1.823,4.866,1044.6
3266,73.359,0.581,0.658,-1.534,6.044,1057.1
3286,-30.576,0.588,0.632,-1.401,4.355,1070.3
3306,3.789,0.595,0.665,-1.855,4.97,1083.2
3326,18.327,0.602,0.617,-0.28,3.875,1096
3346,-65.48,0.609,0.614,-0.621,3.016,1108.6
3366,43.587,0.616,0.584,1.164,3.234,1120.3
3386,-113.101,0.623,0.539,1.395,1.198,1132
3406,69.688,0.63,0.58,1.842,3.561,1142.8
3426,-57.091,0.637,0.536,2.268,1.818,1154.3
3446,54.111,0.644,0.58,2.1,3.703,1165.2
3466,0.345,0.651,0.548,2.747,2.781,1176.6
3486,11.875,0.658,0.613,1.271,4.261,1188.1
3506,11.088,0.665,0.576,2.46,3.529,1200
3526,-13.033,0.672,0.616,1.375,4.183,1212
3546,35.498,0.679,0.604,2.258,4.321,1224
3566,-9.142,0.686,0.645,1.013,4.763,1236.6
3586,66.674,0.693,0.662,1.31,5.582,1249.3
3606,-14.299,0.7,0.689,0.168,5.324,1263
3626,91.677,0.7,0.747,-0.591,6.844,1277
3646,-23.959,0.7,0.749,-1.478,5.408,1292.2
3666,63.734,0.7,0.815,-2.612,6.797,1307.5
3686,15.882,0.7,0.805,-2.681,5.52,1323.8
3706,14.537,0.7,0.85,-3.919,5.723,1340.3
3726,56.87,0.7,0.857,-3.779,5.449,1357.2
3746,-17.424,0.7,0.853,-4.233,4.603,1374.4
3766,75.717,0.7,0.864,-4.337,5.214,1391.4
3786,-29.515,0.7,0.811,-3.181,3.213,1408.3
3806,-18.041,0.7,0.848,-4.083,3.486,1424.9
3826,38.347,0.7,0.81,-2.674,2.673,1441.3
3846,-66.947,0.7,0.833,-4.051,1.85,1458
3867,52.078,0.7,0.838,-3.24,2.484,1475.2
3887,-62.383,0.7,0.806,-3.292,0.479,1491.9
3907,-1.231,0.7,0.841,-3.79,1.293,1508.4
3927,-0.753,0.7,0.809,-2.91,0.306,1524.9
3947,-61.911,0.7,0.823,-3.757,-0.167,1541.5
3967,79.652,0.7,0.828,-2.847,0.76,1557.6
3987,-97.281,0.7,0.8,-3.382,-1.429,1574.4
4007,31.741,0.7,0.834,-3.35,0.044,1590.4
4027,-16.343,0.7,0.797,-2.726,-1.254,1606.8
4047,-1.177,0.7,0.844,-3.854,-0.399,1623.2
