Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
2163,20.135,0.003,-0.025,0.922,1.498,6595.9
2183,12.29,0.01,-0.007,0.564,1.922,6595.5
2203,12.402,0.018,0.007,0.369,2.276,6595.5
2223,7.61,0.024,0.018,0.24,2.478,6595.7
2243,3.411,0.032,0.024,0.227,2.581,6596.1
2263,2.264,0.038,0.026,0.356,2.614,6596.6
2283,0.222,0.045,0.027,0.501,2.632,6597.2
2303,-2.827,0.053,0.024,0.742,2.58,6597.7
2323,-9.833,0.06,0.017,1.075,2.434,6598.1
2343,-4.682,0.067,0.01,1.474,2.435,6598.4
2363,-8.846,0.073,0.002,1.836,2.374,6598.5
2383,-8.906,0.08,-0.009,2.326,2.307,6598.5
2403,-5.169,0.087,-0.016,2.735,2.39,6598.2
2423,-4.059,0.095,-0.022,3.088,2.502,6597.9
2443,-2.821,0.101,-0.026,3.381,2.677,6597.4
2463,2.031,0.108,-0.027,3.649,2.924,6596.9
2483,4.073,0.116,-0.024,3.773,3.237,6596.3
2503,8.218,0.122,-0.016,3.78,3.645,6595.9
2523,15.718,0.13,-0.003,3.653,4.16,6595.7
2543,19.057,0.136,0.018,3.306,4.725,6595.8
2563,20.495,0.144,0.04,2.917,5.227,6596.3
2583,19.459,0.15,0.064,2.471,5.667,6597.3
2603,17.816,0.157,0.083,2.117,5.968,6598.7
2623,15.635,0.164,0.101,1.808,6.182,6600.5
2643,4.626,0.171,0.111,1.666,6.124,6602.6
2663,3.567,0.178,0.116,1.696,6.066,6604.9
2683,6.061,0.185,0.121,1.757,6.037,6607.2
2703,0.583,0.192,0.124,1.828,5.909,6609.7
2723,-0.755,0.199,0.125,1.999,5.777,6612.2
2743,-8.604,0.206,0.117,2.329,5.474,6614.6
2763,-5.184,0.214,0.11,2.724,5.318,6616.9
2783,-5.625,0.22,0.105,3.059,5.197,6619.1
2803,-0.553,0.227,0.102,3.353,5.212,6621.1
2823,0.749,0.235,0.101,3.565,5.256,6623.2
2843,-5.916,0.241,0.097,3.829,5.173,6625.2
2863,0.455,0.248,0.092,4.187,5.221,6627.1
2884,5.38,0.256,0.098,4.268,5.477,6629
2904,6.185,0.263,0.107,4.209,5.753,6631.1
2924,15.243,0.27,0.12,4.128,6.127,6633.3
2944,9.918,0.277,0.133,3.915,6.372,6635.8
