Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
400,0,0.002,0.004,-0.175,-0.193,-57.9
420,0,0.009,0.018,-0.024,0.348,-57.9
440,0,0.016,-0.019,0.299,-0.346,-57.8
461,0,0.023,-0.02,0.54,-0.106,-58
481,0,0.03,-0.049,0.99,-0.381,-58.2
501,0,0.037,-0.061,1.214,-0.39,-58.7
521,0,0.044,-0.08,1.6,-0.404,-59.2
541,0,0.051,-0.103,1.901,-0.587,-59.9
561,0,0.058,-0.116,2.256,-0.42,-60.8
581,0,0.065,-0.112,2.288,-0.106,-61.7
601,0,0.072,-0.117,2.494,0.125,-62.6
621,0,0.079,-0.082,2.186,0.913,-63.5
641,0,0.086,-0.076,2.154,1.129,-64.1
661,0,0.093,-0.031,1.758,2.002,-64.6
681,0,0.1,-0.02,1.577,2.083,-64.8
701,0,0.107,0.022,1.267,2.881,-64.8
722,0,0.114,0.032,1.091,2.862,-64.6
743,0,0.122,0.065,0.835,3.357,-64.3
763,0,0.129,0.077,0.658,3.335,-63.7
783,0,0.136,0.105,0.552,3.818,-63
803,0,0.143,0.11,0.439,3.638,-62.2
823,0,0.15,0.119,0.405,3.618,-61.2
843,0,0.157,0.119,0.496,3.502,-60.3
863,0,0.164,0.109,0.641,3.191,-59.4
883,0,0.171,0.086,1.056,2.829,-58.6
904,0,0.178,0.073,1.266,2.564,-57.9
924,0,0.185,0.051,1.706,2.331,-57.4
944,0,0.192,0.045,1.909,2.332,-57
964,0,0.199,0.034,2.124,2.231,-56.7
984,0,0.206,0.046,2.1,2.507,-56.4
1004,0,0.213,0.057,2.083,2.769,-56
1025,0,0.22,0.084,1.835,3.196,-55.4
1045,0,0.227,0.099,1.741,3.406,-54.7
1065,0,0.235,0.113,1.606,3.553,-53.9
1085,0,0.241,0.116,1.62,3.497,-53
1105,0,0.248,0.119,1.694,3.539,-52
1125,0,0.255,0.099,1.961,3.156,-51.1
1145,0,0.262,0.098,2.183,3.26,-50.4
1165,0,0.269,0.08,2.362,2.903,-49.6
1185,0,0.277,0.085,2.548,3.19,-49
1205,0,0.283,0.082,2.594,3.098,-48.3
1225,0,0.29,0.09,2.64,3.341,-47.6
1245,0,0.298,0.099,2.588,3.48,-46.9
1265,0,0.304,0.112,2.557,3.733,-46
1285,0,0.311,0.133,2.35,4.003,-45.1
1305,0,0.319,0.141,2.362,4.145,-44
1325,0,0.326,0.159,2.179,4.316,-42.8
1345,0,0.332,0.166,2.205,4.383,-41.5
1365,0,0.34,0.173,2.134,4.359,-40.1
1385,0,0.347,0.146,2.522,3.879,-38.8
1405,0,0.353,0.154,2.606,4.097,-37.6
1425,0,0.36,0.134,2.876,3.71,-36.4
1445,0,0.367,0.143,2.955,3.978,-35.4
1465,0,0.375,0.134,3.125,3.865,-34.3
1485,0,0.382,0.143,3.132,4.048,-33.2
1505,0,0.389,0.145,3.17,4.083,-32
1526,0,0.396,0.17,3.014,4.55,-30.8
1546,0,0.403,0.181,2.862,4.565,-29.4
1566,0,0.41,0.169,3.182,4.469,-28
1586,0,0.417,0.181,3.044,4.568,-26.6
1606,0,0.424,0.183,3.17,4.644,-25.1
1626,0,0.431,0.19,3.147,4.704,-23.6
1646,0,0.438,0.193,3.22,4.755,-22.1
1666,0,0.445,0.201,3.19,4.864,-20.6
1686,0,0.452,0.205,3.223,4.887,-18.9
1706,0,0.459,0.201,3.351,4.787,-17.3
1726,0,0.466,0.203,3.442,4.844,-15.7
1746,0,0.473,0.219,3.349,5.082,-14
1766,0,0.48,0.231,3.269,5.226,-12.2
1786,0,0.487,0.233,3.317,5.185,-10.4
1806,0,0.494,0.246,3.255,5.367,-8.5
1826,0,0.501,0.25,3.284,5.358,-6.5
1847,0,0.508,0.252,3.352,5.339,-4.5
1867,0,0.515,0.25,3.405,5.215,-2.5
1887,0,0.522,0.262,3.425,5.439,-0.4
1907,0,0.529,0.271,3.339,5.447,1.7
1928,0,0.537,0.283,3.365,5.646,3.9
1948,0,0.544,0.3,3.128,5.712,6.2
1968,0,0.551,0.3,3.344,5.769,8.6
1988,0,0.558,0.322,3.076,5.938,11.1
2008,0,0.565,0.318,3.247,5.827,13.6
2028,0,0.572,0.329,3.09,5.787,16.2
2048,0,0.579,0.286,3.664,5.027,18.8
2068,0,0.586,0.348,3.283,6.213,21.2
2088,0,0.593,0.316,3.371,5.237,24
2108,0,0.6,0.316,3.817,5.592,26.4
2128,0,0.607,0.367,3.08,6.084,29.2
