Time [ms],Speed_target [m/s],Speed [m/s],Theta_Target [°], Theta [°]
0,0,0,-0.009,0.237
6,0,-0.001,-0.001,0.249
11,0,0.001,-0.002,0.225
16,0,0.001,0.002,0.205
21,0,0,0.003,0.204
26,0,-0.001,-0.001,0.224
31,0,0,-0.004,0.215
36,0,0.001,0,0.198
41,0,0.001,0.002,0.178
46,0,0,0.002,0.185
51,0,0.001,-0.002,0.155
56,0,-0.001,0.003,0.176
61,0,-0.002,-0.003,0.202
66,0,0,-0.005,0.197
71,0,-0.001,0,0.209
76,0,-0.001,-0.002,0.237
81,0,-0.001,-0.005,0.244
86,0,-0.001,-0.002,0.256
91,0,-0.001,-0.002,0.266
96,0,-0.001,-0.002,0.291
101,0,0,-0.005,0.287
106,0,-0.001,-0.001,0.301
111,0,0,-0.003,0.291
116,0,0,0,0.276
121,0,-0.001,0.002,0.303
126,0,-0.001,-0.005,0.315
131,0,-0.001,-0.004,0.328
136,0,-0.001,-0.003,0.344
141,0,-0.003,-0.003,0.401
146,0,-0.002,-0.01,0.428
151,0,-0.001,-0.006,0.446
156,0,0.001,-0.004,0.423
161,0,0,0.002,0.426
166,0,-0.001,-0.001,0.426
171,0,-0.001,-0.002,0.43
176,0,0,-0.002,0.408
181,0,0,0.002,0.409
186,0,0.001,-0.001,0.375
191,0,-0.001,0.003,0.392
196,0,-0.001,-0.003,0.393
201,0,0.001,-0.002,0.368
206,0,-0.001,0.002,0.38
211,0,-0.002,-0.002,0.407
216,0,-0.001,-0.006,0.417
221,0,-0.001,-0.003,0.436
226,0,0,-0.004,0.416
231,0,-0.001,0.001,0.435
236,0,-0.003,-0.004,0.485
241,0,-0.001,-0.009,0.482
246,0,0,-0.002,0.485
251,0,0,-0.001,0.482
256,0,-0.001,-0.001,0.504
261,0,-0.001,-0.005,0.506
266,0,0,-0.003,0.486
271,0,-0.001,0.001,0.505
276,0,0,-0.004,0.481
281,0,-0.001,0.001,0.498
286,0,0.001,-0.004,0.46
291,0,-0.002,0.003,0.493
296,0,-0.001,-0.005,0.491
301,0,0,-0.003,0.477
306,0,0.001,0.001,0.452
311,0,0,0.002,0.445
316,0,-0.002,0,0.467
321,0,-0.002,-0.005,0.489
326,0,-0.003,-0.005,0.543
331,0,-0.001,-0.01,0.55
336,0,0,-0.004,0.539
341,0,-0.001,0.001,0.564
346,0,-0.001,-0.005,0.569
351,0,-0.002,-0.003,0.614
356,0,0,-0.008,0.604
361,0,-0.001,-0.001,0.615
366,0,0,-0.003,0.597
371,0,0,0,0.595
376,0,-0.001,-0.001,0.607
381,0,-0.003,-0.004,0.659
386,0,0,-0.01,0.638
391,0,0,0,0.635
396,0,0,0,0.628
