Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
0.000,-21.347,0.000,-0.047,1.074,-2.444,-253.1
20.000,-21.939,0.000,-0.069,1.632,-2.589,-254.2
40.000,-16.434,0.000,-0.087,2.132,-2.572,-255.7
60.000,-10.153,0.000,-0.100,2.528,-2.428,-257.6
80.000,-6.125,0.000,-0.108,2.757,-2.169,-259.6
100.000,3.746,0.000,-0.107,2.803,-1.699,-261.8
120.000,4.620,0.000,-0.101,2.646,-1.226,-263.9
140.000,8.208,0.000,-0.091,2.431,-0.724,-265.8
160.000,19.168,0.000,-0.078,2.176,-0.150,-267.6
180.000,18.334,0.000,-0.059,1.675,0.396,-269.0
200.000,17.372,0.000,-0.040,1.160,0.870,-270.0
220.000,18.022,0.000,-0.022,0.694,1.251,-270.7
240.000,18.661,0.000,-0.000,0.138,1.635,-271.0
260.000,19.826,0.000,0.021,-0.404,1.942,-270.8
280.000,19.998,0.000,0.041,-0.928,2.159,-270.3
300.000,17.027,0.000,0.061,-1.454,2.280,-269.3
320.000,15.972,0.000,0.078,-1.908,2.321,-267.9
340.000,13.061,0.000,0.093,-2.334,2.278,-266.3
360.000,2.702,0.000,0.102,-2.628,2.012,-264.3
380.000,-0.388,0.000,0.106,-2.761,1.714,-262.2
400.000,-4.924,0.000,0.100,-2.624,1.211,-260.2
420.000,-8.038,0.000,0.093,-2.481,0.769,-258.2
440.000,-19.307,0.000,0.077,-2.150,0.127,-256.4
465.000,-23.588,0.000,0.048,-1.408,-0.673,-254.8
485.000,-16.006,0.000,0.028,-0.841,-1.075,-254.0
505.000,-19.086,0.000,0.007,-0.313,-1.494,-253.6
525.000,-18.210,0.000,-0.016,0.287,-1.840,-253.6
545.000,-19.302,0.000,-0.038,0.841,-2.106,-254.1
565.000,-16.024,0.000,-0.058,1.390,-2.250,-255.0
585.000,-15.792,0.000,-0.078,1.921,-2.365,-256.3
605.000,37.590,0.000,-0.079,2.324,-1.652,-258.0
625.000,162.079,0.000,0.131,-2.234,8.609,-258.0
645.000,-75.901,0.000,0.209,-5.000,8.604,-254.0
665.000,-143.560,0.000,0.027,-1.718,2.565,-251.3
685.000,-98.076,0.000,-0.115,2.294,-0.181,-252.0
705.000,-70.253,0.000,-0.232,5.000,-2.610,-255.2
725.000,-58.360,0.000,-0.297,5.000,-4.953,-260.4
745.000,-34.703,0.000,-0.341,5.000,-6.189,-266.7
