Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
0.000,-20.747,0.000,0.066,-0.937,-8.090,640.3
20.000,-18.713,0.000,0.042,-0.619,-7.921,641.5
40.000,-28.179,0.000,0.014,-0.288,-7.867,642.2
60.000,-25.940,0.000,-0.015,0.108,-7.778,642.2
80.000,-43.729,0.000,-0.060,0.618,-7.941,641.6
100.000,-33.202,0.000,-0.103,1.216,-7.936,640.1
120.000,-47.712,0.000,-0.150,1.783,-8.054,637.7
140.000,-58.013,0.000,-0.209,2.507,-8.260,634.3
160.000,-51.280,0.000,-0.269,3.320,-8.370,629.6
180.000,-72.932,0.000,-0.329,4.016,-8.514,623.9
201.000,-62.153,0.000,-0.412,5.000,-8.921,616.6
221.000,-7.375,0.000,-0.436,5.000,-8.633,607.7
241.000,-41.878,0.000,-0.479,5.000,-8.873,598.7
261.000,-43.433,0.000,-0.517,5.000,-9.005,588.9
281.000,-29.063,0.000,-0.562,5.000,-9.295,578.1
301.000,-25.781,0.000,-0.615,5.000,-9.783,566.4
321.000,-99.071,0.000,-0.687,5.000,-10.748,553.8
341.000,-84.489,0.000,-0.737,5.000,-11.082,539.7
361.000,-12.693,0.000,-0.778,5.000,-11.124,524.5
381.000,-9.389,0.000,-0.849,5.000,-11.961,508.2
401.000,-57.477,0.000,-0.864,5.000,-12.850,491.1
421.000,-98.216,0.000,-0.864,5.000,-13.193,473.9
441.000,-124.087,0.000,-0.864,5.000,-12.982,456.7
461.000,-55.377,0.000,-0.864,5.000,-12.752,439.4
481.000,20.598,0.000,-0.858,5.000,-13.339,422.1
501.000,0.149,0.000,-0.864,5.000,-14.497,404.9
521.000,-55.096,0.000,-0.864,5.000,-15.741,387.6
541.000,-131.763,0.000,-0.864,5.000,-16.874,370.4
561.000,-134.844,0.000,-0.864,5.000,-17.562,353.1
581.000,-128.860,0.000,-0.864,5.000,-18.211,335.8
601.000,-54.944,0.000,-0.864,5.000,-18.447,318.5
621.000,8.854,0.000,-0.862,5.000,-18.685,301.2
641.000,2.006,0.000,-0.863,5.000,-19.157,284.0
661.000,-26.819,0.000,-0.864,5.000,-19.837,266.7
681.000,-106.452,0.000,-0.864,5.000,-20.200,249.5
701.000,-131.901,0.000,-0.864,5.000,-19.906,232.3
721.000,-126.544,0.000,-0.864,5.000,-19.708,215.0
741.000,-62.634,0.000,-0.864,5.000,-19.936,197.7
761.000,6.384,0.000,-0.862,5.000,-20.125,180.5
781.000,2.346,0.000,-0.863,5.000,-20.946,163.2
801.000,-54.516,0.000,-0.864,5.000,-21.991,145.9
821.000,-84.138,0.000,-0.864,5.000,-22.638,128.6
841.000,-127.024,0.000,-0.864,5.000,-22.776,111.3
861.000,-121.642,0.000,-0.864,5.000,-22.604,94.1
881.000,-93.333,0.000,-0.864,5.000,-23.126,76.8
901.000,-22.706,0.000,-0.864,5.000,-23.437,59.5
921.000,-10.716,0.000,-0.864,5.000,-23.819,42.2
941.000,-40.097,0.000,-0.864,5.000,-24.361,25.0
961.000,-74.679,0.000,-0.864,5.000,-24.486,7.7
981.000,-126.158,0.000,-0.864,5.000,-24.920,-9.6
1001.000,-136.775,0.000,-0.864,5.000,-25.133,-26.9
1021.000,-112.062,0.000,-0.864,5.000,-25.102,-44.1
1041.000,-85.978,0.000,-0.864,5.000,-25.086,-61.4
1061.000,-52.484,0.000,-0.864,5.000,-25.431,-78.7
1081.000,-16.416,0.000,-0.864,5.000,-25.994,-96.0
1101.000,-48.689,0.000,-0.864,5.000,-26.909,-113.3
1121.000,-73.572,0.000,-0.864,5.000,-27.337,-130.5
1141.000,-115.843,0.000,-0.864,5.000,-27.944,-147.8
1161.000,-128.239,0.000,-0.864,5.000,-28.114,-165.1
1181.000,-113.342,0.000,-0.864,5.000,-27.888,-182.4
1201.000,-104.913,0.000,-0.864,5.000,-27.961,-199.7
1221.000,-44.818,0.000,-0.864,5.000,-28.318,-216.9
1241.000,-29.368,0.000,-0.864,5.000,-28.644,-234.2
1261.000,-34.426,0.000,-0.864,5.000,-28.780,-251.5
1281.000,-98.660,0.000,-0.864,5.000,-29.428,-268.8
1303.000,-156.620,0.000,0.000,5.000,-30.292,-286.0
1324.000,-64.882,0.000,0.000,0.000,-30.572,-286.0
1344.000,-113.540,0.000,0.000,0.000,-31.346,-286.0
1364.000,-92.204,0.000,0.000,0.000,-32.230,-286.0
1384.000,-103.023,0.000,0.000,0.000,-33.151,-286.0
1404.000,-101.557,0.000,0.000,0.000,-33.946,-286.0
1424.000,-94.534,0.000,0.000,0.000,-34.754,-286.0
1444.000,-98.090,0.000,0.000,0.000,-35.314,-286.0
1464.000,-95.963,0.000,0.000,0.000,-35.851,-286.0
1484.000,-85.354,0.000,0.000,0.000,-36.148,-286.0
1504.000,-112.342,0.000,0.000,0.000,-36.865,-286.0
1524.000,-105.162,0.000,0.000,0.000,-37.500,-286.0
1544.000,-79.223,0.000,0.000,0.000,-37.828,-286.0
1564.000,-78.362,0.000,0.000,0.000,-37.777,-286.0
1584.000,-91.639,0.000,0.000,0.000,-37.940,-286.0
1604.000,-98.777,0.000,0.000,0.000,-38.255,-286.0
1624.000,-80.901,0.000,0.000,0.000,-38.401,-286.0
1644.000,-72.008,0.000,0.000,0.000,-37.944,-286.0
1664.000,-42.039,0.000,0.000,0.000,-36.978,-286.0
