Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
0.000,3.150,0.000,0.189,-5.000,0.223,45.0
20.000,-5.279,0.000,0.107,-2.911,-1.766,48.2
40.000,14.827,0.000,0.171,-4.473,-0.517,50.9
60.000,-41.779,0.000,0.071,-2.195,-3.109,53.4
80.000,12.384,0.000,0.117,-3.028,-1.780,55.2
100.000,-68.553,0.000,-0.026,0.188,-5.123,56.3
120.000,67.188,0.000,0.038,-0.521,-2.493,56.2
140.000,-106.327,0.000,-0.056,0.713,-5.419,56.4
160.000,67.142,0.000,-0.020,1.034,-2.960,55.3
180.000,-139.253,0.000,-0.126,2.345,-6.224,54.5
200.000,86.105,0.000,-0.081,2.803,-3.008,52.0
220.000,-109.537,0.000,-0.158,3.426,-5.512,50.2
240.000,114.018,0.000,-0.106,3.671,-2.136,47.0
260.000,-131.062,0.000,-0.148,2.985,-4.374,45.1
280.000,133.345,0.000,-0.102,3.702,-0.920,42.1
300.000,-64.765,0.000,-0.077,1.580,-1.632,40.7
320.000,108.302,0.000,-0.048,2.092,0.489,38.9
340.000,-21.036,0.000,0.000,-0.158,0.511,38.7
360.000,89.842,0.000,0.028,-0.096,1.859,38.6
380.000,-19.734,0.000,0.078,-2.238,1.789,39.8
400.000,104.802,0.000,0.113,-2.247,3.094,41.3
420.000,-61.745,0.000,0.158,-4.676,2.236,44.3
440.000,63.000,0.000,0.141,-3.313,2.381,47.0
460.000,-71.114,0.000,0.175,-5.000,1.735,50.5
480.000,61.079,0.000,0.144,-3.406,1.455,53.4
500.000,-57.926,0.000,0.187,-5.000,1.375,57.0
520.000,39.574,0.000,0.155,-3.859,0.618,60.2
540.000,-67.891,0.000,0.185,-5.000,0.421,63.9
560.000,20.506,0.000,0.130,-3.341,-0.760,66.9
580.000,-13.960,0.000,0.179,-4.895,-0.332,70.1
600.000,-4.171,0.000,0.092,-2.480,-2.211,72.8
620.000,20.141,0.000,0.148,-3.801,-1.006,75.1
640.000,-63.759,0.000,0.029,-1.250,-4.051,77.1
660.000,18.346,0.000,0.073,-1.824,-2.408,78.0
680.000,-63.509,0.000,-0.016,-0.036,-4.649,78.8
700.000,40.125,0.000,0.028,-0.441,-2.697,78.8
720.000,-77.344,0.000,-0.069,1.279,-5.223,78.7
740.000,57.863,0.000,-0.012,0.755,-2.640,77.6
760.000,-93.029,0.000,-0.132,2.842,-5.760,76.6
780.000,62.654,0.000,-0.062,2.110,-2.613,74.4
800.000,-103.916,0.000,-0.164,3.611,-5.434,72.6
820.000,60.134,0.000,-0.107,3.311,-2.448,69.6
840.000,-48.910,0.000,-0.149,3.619,-3.615,67.3
860.000,86.529,0.000,-0.075,2.638,-0.646,64.7
880.000,-56.889,0.000,-0.115,2.662,-2.244,63.1
900.000,111.382,0.000,-0.025,1.484,1.109,61.3
920.000,-55.057,0.000,-0.047,0.852,-0.555,60.9
940.000,144.653,0.000,0.051,-0.289,2.915,60.3
960.000,-0.227,0.000,0.075,-2.000,2.015,61.8
980.000,86.236,0.000,0.124,-2.680,3.294,63.4
1000.000,-0.948,0.000,0.170,-4.546,3.024,66.4
1020.000,86.347,0.000,0.209,-4.950,3.860,69.9
1040.000,-29.629,0.000,0.208,-5.000,3.086,74.3
1060.000,57.344,0.000,0.243,-5.000,4.097,78.5
1080.000,-57.297,0.000,0.219,-5.000,2.237,83.4
1100.000,70.748,0.000,0.258,-5.000,3.514,87.9
1120.000,-59.886,0.000,0.221,-5.000,1.145,92.9
1140.000,37.692,0.000,0.251,-5.000,2.045,97.5
1160.000,-54.796,0.000,0.197,-5.000,-0.956,102.2
1180.000,13.621,0.000,0.228,-5.000,0.158,106.4
1200.000,-34.014,0.000,0.175,-4.943,-2.600,110.6
1220.000,5.271,0.000,0.212,-5.000,-1.172,114.3
1240.000,-77.671,0.000,0.123,-3.868,-4.383,118.0
1260.000,65.947,0.000,0.177,-4.261,-2.241,120.7
1280.000,-98.249,0.000,0.082,-2.906,-5.438,123.7
1300.000,73.009,0.000,0.119,-2.654,-3.232,125.4
1320.000,-147.782,0.000,0.018,-1.558,-6.793,127.4
1340.000,79.261,0.000,0.040,-0.490,-4.246,127.6
1360.000,-132.476,0.000,-0.023,-0.369,-6.759,128.3
1380.000,72.600,0.000,-0.023,1.143,-4.690,127.5
1400.000,-173.139,0.000,-0.091,1.172,-7.438,127.0
1420.000,71.689,0.000,-0.105,3.334,-5.148,124.6
1440.000,-123.797,0.000,-0.121,2.327,-6.316,122.8
1460.000,56.395,0.000,-0.153,4.500,-4.841,119.7
1480.000,-130.535,0.000,-0.156,3.213,-5.670,117.2
1500.000,69.594,0.000,-0.165,4.939,-3.602,113.6
1520.000,-62.147,0.000,-0.131,3.047,-3.347,110.9
1540.000,62.090,0.000,-0.155,4.605,-2.322,107.7
1560.000,-48.622,0.000,-0.109,2.553,-1.795,105.3
1580.000,88.084,0.000,-0.127,4.035,-0.711,102.5
1600.000,8.228,0.000,-0.043,1.208,0.583,100.9
1620.000,17.597,0.000,-0.074,2.111,0.142,99.7
1640.000,70.651,0.000,0.026,-0.179,2.561,99.0
1660.000,-1.851,0.000,0.006,-0.168,1.432,99.4
1680.000,89.850,0.000,0.108,-2.219,3.911,100.2
1700.000,-17.964,0.000,0.085,-2.399,2.199,102.2
1720.000,90.675,0.000,0.176,-4.053,4.385,104.5
1740.000,-48.660,0.000,0.148,-4.323,2.155,108.0
1760.000,63.011,0.000,0.227,-5.000,4.590,111.4
1780.000,-27.403,0.000,0.176,-4.907,1.620,115.6
1800.000,37.203,0.000,0.232,-5.000,3.584,119.5
1820.000,-32.993,0.000,0.176,-4.963,0.439,123.7
1840.000,16.349,0.000,0.223,-5.000,2.124,127.6
1860.000,-70.680,0.000,0.146,-4.423,-1.373,131.5
1880.000,65.339,0.000,0.213,-5.000,0.910,134.7
1900.000,-91.049,0.000,0.110,-3.627,-2.862,138.3
1920.000,92.734,0.000,0.166,-3.750,-0.484,140.7
1940.000,-113.509,0.000,0.095,-3.381,-3.634,143.8
1960.000,88.343,0.000,0.122,-2.616,-1.558,145.5
1980.000,-200.000,0.000,0.019,-1.984,-5.853,147.8
2000.000,85.314,0.000,0.019,0.129,-3.390,147.7
2020.000,-104.051,0.000,0.011,-1.052,-4.745,148.5
2040.000,56.432,0.000,-0.017,0.861,-3.727,148.1
2060.000,-103.792,0.000,-0.022,-0.167,-4.737,148.2
2080.000,64.327,0.000,-0.054,1.910,-3.660,147.1
2100.000,-136.833,0.000,-0.063,0.668,-4.971,146.4
2120.000,84.079,0.000,-0.101,3.326,-3.537,144.3
2140.000,-82.931,0.000,-0.076,1.435,-3.862,143.0
2160.000,41.364,0.000,-0.152,4.365,-3.863,140.4
2180.000,-37.211,0.000,-0.091,2.155,-2.721,138.1
2200.000,46.685,0.000,-0.126,3.726,-2.349,135.7
2220.000,2.852,0.000,-0.061,1.652,-1.011,133.9
2240.000,49.846,0.000,-0.082,2.563,-0.815,132.3
2260.000,17.255,0.000,0.009,-0.122,0.884,131.5
2280.000,29.936,0.000,-0.033,1.096,0.150,131.2
2300.000,52.382,0.000,0.079,-1.739,2.471,131.5
2320.000,0.896,0.000,0.027,-0.726,0.811,132.6
2340.000,94.984,0.000,0.149,-3.277,3.669,134.0
2360.000,-32.805,0.000,0.099,-2.896,1.258,136.7
2380.000,106.369,0.000,0.184,-4.144,3.594,139.1
2400.000,-51.717,0.000,0.149,-4.375,1.146,142.7
2420.000,73.016,0.000,0.228,-5.000,3.689,146.1
2440.000,2.295,0.000,0.188,-5.000,1.233,150.3
2460.000,19.332,0.000,0.226,-5.000,2.493,154.4
2480.000,-15.948,0.000,0.187,-5.000,0.137,158.5
2500.000,9.524,0.000,0.225,-5.000,1.494,162.6
2520.000,-30.087,0.000,0.163,-4.570,-1.429,166.6
2540.000,-7.953,0.000,0.211,-5.000,0.091,170.3
2560.000,-75.547,0.000,0.089,-2.929,-3.784,173.5
2580.000,61.791,0.000,0.155,-3.682,-1.451,175.7
2600.000,-118.443,0.000,0.044,-2.037,-5.072,178.2
2620.000,80.651,0.000,0.093,-1.896,-2.401,179.2
2640.000,-176.125,0.000,-0.035,-0.369,-6.949,180.5
2660.000,121.028,0.000,-0.004,0.990,-3.602,179.7
2680.000,-118.678,0.000,-0.034,0.028,-5.667,179.9
2700.000,66.927,0.000,-0.046,1.735,-4.034,178.7
