Time [ms],Acceleration [m/s^2],Speed_target [m/s],Speed [m/s],Theta_Target [deg],Theta [deg],Position [m]
0,-7.92,0,0,0,-0.649,-2080.8
20,0.426,0,0,0,-0.627,-2080.8
40,-200,0,0,0,-3.741,-2080.8
60,-200,0,0,0,-16.257,-2080.8
80,-8.03,0,0,0,-21.593,-2080.8
100,-200,0,0,0,-22.48,-2080.8
120,-50.142,0,0,0,-24.192,-2080.8
140,112.159,0,0,0,-21.236,-2080.8
160,200,0,0,0,-14.018,-2080.8
180,200,0,0,0,-5.697,-2080.8
200,123.647,0,0,0,-0.041,-2080.8
220,156.013,0,0,0,3.727,-2080.8
240,84.728,0,0,0,6.572,-2080.8
260,99.689,0,0,0,8.78,-2080.8
280,47.075,0,0,0,9.809,-2080.8
300,48.849,0,0,0,10.257,-2080.8
320,47.739,0,0,0,10.94,-2080.8
340,14.441,0,0,0,11.042,-2080.8
360,24.766,0,0,0,10.987,-2080.8
380,14.48,0,0,0,10.851,-2080.8
400,19.456,0,0,0,10.709,-2080.8
420,16.317,0,0,0,10.48,-2080.8
440,10.615,0,0,0,10.157,-2080.8
